distance;e_pol;e_pol_damp
1.18436;27.09431579889747;446.6186588452999
1.38436;-15.08371861840888;129.65385442457085
1.58436;-25.28956150965875;17.749881914640213
1.78436;-25.440094019867153;-20.291206095734317
1.98436;-22.778596233051072;-31.0582530650258
2.18436;-19.671829178606238;-31.881451152048363
2.38436;-16.832948189357424;-29.35820327298646
2.58436;-14.419736946520207;-25.992565044689087
2.78436;-12.41471227254224;-22.694760847471276
2.98436;-10.75550157767965;-19.753721602648657
3.18436;-9.377324572999667;-17.222462650366968
3.38436;-8.224813777843913;-15.071234962668282
3.58436;-7.253605047170989;-13.24734917597969
3.78436;-6.428925053864592;-11.697359791406548
3.98436;-5.7236316729269605;-10.37424922148957
4.18436;-5.116455751412865;-9.238849970535053
4.38436;-4.5906039022858565;-8.259242197775201
4.58436;-4.132697472146845;-7.409597685352607
4.78436;-3.731979479568473;-6.669013662612806
4.98436;-3.379723129320567;-6.020508224676775
5.18436;-3.0687886446306685;-5.450207034816621
5.38436;-2.7932886181840435;-4.946702264432878
5.58436;-2.548332970726468;-4.50055252605799
5.78436;-2.329832706408655;-4.103893572447957
5.98436;-2.134347476177278;-3.750134467776327
6.18436;-1.9589660929601473;-3.4337192951802264
6.38436;-1.801212071130954;-3.149939109149215
6.58436;-1.6589683475364707;-2.8947825384155905
6.78436;-1.5304168365462687;-2.6648162770581645
6.98436;-1.4139895535216942;-2.457088832835608
7.18436;-1.3083288314514137;-2.269052494580805
