distance;e_elst;e_exch;e_ind;e_disp;e_tot
1.18436;-1171.85011588;2576.78842001;-480.63449168;-157.95917443;766.34463803
1.38436;-671.32383653;1499.802572;-242.28585065;-111.804985;474.38789982
1.58436;-366.65468872;844.17719867;-119.25715899;-78.2981681;279.96718285
1.78436;-192.42146772;464.38717201;-67.71715739;-55.07247039;149.17607651
1.98436;-96.07715322;251.03302353;-44.62312087;-39.23857426;71.09417518
2.18436;-43.91524268;133.71309006;-32.59268392;-28.41077275;28.79439071
2.38436;-16.09995518;70.27526021;-25.3770609;-20.90298347;7.89526066
2.58436;-1.50645602;36.46497938;-20.56770509;-15.61027362;-1.21945535
2.78436;5.95859184;18.69610495;-17.13113555;-11.81963767;-4.29607644
2.98436;9.61121118;9.48696355;-14.5520866;-9.06301627;-4.51692813
3.18436;11.25375143;4.77187548;-12.53479681;-7.02780034;-3.53697024
3.38436;11.85953468;2.37912158;-10.90053452;-5.50379888;-2.16567714
3.58436;11.94405421;1.17282212;-9.54228573;-4.34876812;-0.77417753
3.78436;11.77296733;0.56928823;-8.39527691;-3.46479107;0.48218758
3.98436;11.47947688;0.27096658;-7.41738558;-2.78272095;1.55033693
4.18436;11.12902009;0.1261326;-6.57846561;-2.25254172;2.42414536
4.38436;10.75331591;0.05736644;-5.85520465;-1.83745877;3.11801893
4.58436;10.36788229;0.02547305;-5.22888413;-1.51012622;3.65434499
4.78436;9.98066254;0.01099704;-4.68420493;-1.25009538;4.05735927
4.98436;9.596342;0.0045496;-4.20860084;-1.0420041;4.35028666
5.18436;9.21810363;0.00173232;-3.79172688;-0.8742577;4.55385137
5.38436;8.84841268;0.00053367;-3.42500188;-0.7380605;4.68588396
5.58436;8.48913048;4.728e-05;-3.10129172;-0.62670298;4.76118306
5.78436;8.14160211;-0.000132;-2.81464066;-0.53503654;4.79179291
5.98436;7.80658498;-0.00018342;-2.56003545;-0.45908607;4.78728003
6.18436;7.48447093;-0.00018445;-2.33326236;-0.3957634;4.75526071
6.38436;7.17529387;-0.00016707;-2.13073652;-0.34265467;4.70173561
6.58436;6.87887873;-0.00014379;-1.94941139;-0.29786178;4.63146176
6.78436;6.59492822;-0.00011937;-1.78668133;-0.25988329;4.54824423
6.98436;6.32309249;-9.59e-05;-1.64031405;-0.22752421;4.45515834
7.18436;6.06297958;-7.457e-05;-1.50838727;-0.19982753;4.35469021
