distance;e_elst;e_exch;e_ind;e_disp;e_tot
1.18436;-1171.85011588;2576.78842001;678.82127444;-30.05828407;2053.7012945
1.38436;-671.32383653;1499.802572;220.78461226;-62.76044444;986.50290329
1.58436;-366.65468872;844.17719867;42.14618657;-60.31939602;459.34930049
1.78436;-192.42146772;464.38717201;-17.04888123;-48.70490386;206.2119192
1.98436;-96.07715322;251.03302353;-29.96780311;-37.06215941;87.92590779
2.18436;-43.91524268;133.71309006;-28.62077829;-27.69481009;33.48225901
2.38436;-16.09995518;70.27526021;-24.35825834;-20.67696182;9.14008486
2.58436;-1.50645602;36.46497938;-20.32028192;-15.54220457;-0.90396312
2.78436;5.95859184;18.69610495;-17.07481846;-11.80032087;-4.22044254
2.98436;9.61121118;9.48696355;-14.54032312;-9.05796258;-4.50011096
3.18436;11.25375143;4.77187548;-12.53262324;-7.02662678;-3.5336231
3.38436;11.85953468;2.37912158;-10.90020659;-5.50357625;-2.16512658
3.58436;11.94405421;1.17282212;-9.54225689;-4.34874366;-0.77412423
3.78436;11.77296733;0.56928823;-8.39528196;-3.46479631;0.48217729
3.98436;11.47947688;0.27096658;-7.41738985;-2.78272617;1.55032743
4.18436;11.12902009;0.1261326;-6.57846762;-2.25254442;2.42414066
4.38436;10.75331591;0.05736644;-5.85520553;-1.83746;3.11801682
4.58436;10.36788229;0.02547305;-5.22888453;-1.51012677;3.65434404
4.78436;9.98066254;0.01099704;-4.68420512;-1.25009564;4.05735882
4.98436;9.596342;0.0045496;-4.20860084;-1.0420041;4.35028666
5.18436;9.21810363;0.00173232;-3.79172688;-0.8742577;4.55385137
5.38436;8.84841268;0.00053367;-3.42500188;-0.7380605;4.68588396
5.58436;8.48913048;4.728e-05;-3.10129172;-0.62670298;4.76118306
5.78436;8.14160211;-0.000132;-2.81464066;-0.53503654;4.79179291
5.98436;7.80658498;-0.00018342;-2.56003545;-0.45908607;4.78728003
6.18436;7.48447093;-0.00018445;-2.33326236;-0.3957634;4.75526071
6.38436;7.17529387;-0.00016707;-2.13073652;-0.34265467;4.70173561
6.58436;6.87887873;-0.00014379;-1.94941139;-0.29786178;4.63146176
6.78436;6.59492822;-0.00011937;-1.78668133;-0.25988329;4.54824423
6.98436;6.32309249;-9.59e-05;-1.64031405;-0.22752421;4.45515834
7.18436;6.06297958;-7.457e-05;-1.50838727;-0.19982753;4.35469021
