distance,e_pair,e_lj
2.484360,2.320755,3.417698
2.584360,-2.223662,-2.791184
2.684360,-5.092401,-6.090394
2.784360,-6.805545,-7.697686
2.884360,-7.729490,-8.321650
2.984360,-8.121718,-8.380061
3.184360,-7.975920,-7.694887
3.384360,-7.240410,-6.656600
3.584360,-6.324926,-5.621979
3.784360,-5.414373,-4.704658
3.984360,-4.586041,-3.927940
4.184360,-3.866055,-3.283102
4.384360,-3.256482,-2.751920
4.584360,-2.748451,-2.315192
4.784360,-2.328805,-1.955694
4.984360,-1.983399,-1.658927
5.184360,-1.698957,-1.413038
5.384360,-1.463766,-1.208465
5.584360,-1.268055,-1.037539
5.784360,-1.103916,-0.894115
5.984360,-0.965185,-0.773263
6.184360,-0.847044,-0.671016
6.384360,-0.745788,-0.584170
6.584360,-0.658541,-0.510130
6.784360,-0.583036,-0.446780
6.984360,-0.517446,-0.392391
7.184360,-0.460297,-0.345543
