distance;e_pol;e_pol_damp
1.528893;-44.663311926664086;-17.439016088179986
1.728893;-36.73330092020259;-39.22001661151842
1.928893;-30.158579680148723;-43.29947826229873
2.128893;-24.977968334063497;-40.94570936359946
2.328893;-20.921632697190987;-36.603371686860896
2.428893;-19.22781330959623;-34.28152706453272
2.528893;-17.717385385284633;-32.00476078655111
2.628893;-16.365715649402322;-29.826347934547204
2.728893;-15.151802711032058;-27.774081497220298
2.828893;-14.05781759392458;-25.85979843655212
2.928893;-13.06863818818312;-24.08555439153436
3.028893;-12.171421752623207;-22.44761038461161
3.128893;-11.355231674637958;-20.938988179613442
3.228893;-10.610720779892993;-19.551089373350287
3.328893;-9.929867077402935;-18.27470339428197
3.528893;-8.732397552260505;-16.019975941764265
3.728893;-7.7177687026852135;-14.106395134831935
3.928893;-6.851634932417334;-12.475151110903235
4.128893;-6.107387431608784;-11.07757333687452
4.328893;-5.4641134831625;-9.87401414624234
4.528893;-4.905169998587881;-8.832334494813193
4.728893;-4.417166669634528;-7.926462901478812
4.928893;-3.989226992906004;-7.1351720115342365
5.128893;-3.6124415527440266;-6.441089335753186
5.328893;-3.279457034211709;-5.829914628549703
5.528893;-2.984162914940182;-5.289806085948257
5.728893;-2.721449691379975;-4.810899738505166
5.928893;-2.487020310521297;-4.384932297253822
6.128893;-2.2772417137289342;-4.004943892552884
6.328893;-2.089026979863478;-3.6650424959515027
6.528893;-1.9197410524744258;-3.3602161017510865
6.728893;-1.7671248100611467;-3.08618205789109
6.928893;-1.6292335193776057;-2.839265453052085
7.128893;-1.504386649906454;-2.6163003661287894
7.328893;-1.3911267232792779;-2.4145492151608776
7.528893;-1.288185392855315;-2.231636522890628
