distance;e_elst;e_exch;e_ind;e_disp;e_tot
1.528893;-700.52992584;1558.62760272;-238.71514917;-123.98417184;495.39835587
1.728893;-374.11959307;860.4714472;-117.53305738;-86.84397066;281.9748261
1.928893;-192.94595579;466.56615791;-67.59038538;-61.26526722;144.76454952
2.128893;-94.75906492;249.3449235;-45.21015434;-43.82439382;65.55131042
2.328893;-42.37025349;131.5651712;-33.44022597;-31.85299311;23.90169863
2.528893;-14.76633314;68.58024584;-26.28167118;-23.49751479;4.03472673
2.628893;-6.42379672;49.2952365;-23.66114415;-20.28493953;-1.07464389
2.728893;-0.45041479;35.33478551;-21.4712096;-17.56890312;-4.155742
2.828893;3.7954703;25.26291002;-19.61372407;-15.2650524;-5.82039615
2.928893;6.78543273;18.01988399;-18.01709685;-13.30420795;-6.51598807
3.028893;8.86497635;12.82619651;-16.62695862;-11.62948841;-6.56527417
3.128893;10.28708092;9.11097844;-15.40188837;-10.19413118;-6.19796019
3.228893;11.2363052;6.45840708;-14.31031848;-8.95971212;-5.57531832
3.328893;11.84675615;4.56733746;-13.32839198;-7.8946305;-4.80892886
3.528893;12.412389;2.26363665;-11.625922;-6.17276203;-3.12265838
3.728893;12.47683454;1.10341857;-10.19690677;-4.86915351;-1.48580717
3.928893;12.29237469;0.52617708;-8.98234125;-3.87291597;-0.03670544
4.128893;11.98583537;0.2447015;-7.94254914;-3.10537331;1.18261441
4.328893;11.62026508;0.11108146;-7.04795615;-2.50963475;2.17375564
4.528893;11.22687461;0.0494788;-6.27505163;-2.04392229;2.95737949
4.728893;10.82153419;0.02179519;-5.60462667;-1.67722615;3.56147657
4.928893;10.4130879;0.00954685;-5.02083187;-1.38637121;4.01543166
5.128893;10.00712938;0.00413606;-4.51053212;-1.15395525;4.34677807
5.328893;9.60771318;0.00171931;-4.06286913;-0.96685676;4.57970659
5.528893;9.2178155;0.00062429;-3.66880405;-0.8151377;4.73449803
5.728893;8.83954502;0.00012729;-3.3208013;-0.69123221;4.82763879
5.928893;8.47421989;-9.091e-05;-3.01254433;-0.58934666;4.872238
6.128893;8.12254524;-0.00017621;-2.73871198;-0.50501659;4.87864046
6.328893;7.7847145;-0.00019772;-2.49480757;-0.43477962;4.85492958
6.528893;7.46064635;-0.00018899;-2.27700104;-0.37593332;4.807523
6.728893;7.15007378;-0.00016667;-2.08202898;-0.32635494;4.74152319
6.928893;6.85263397;-0.00013938;-1.90709551;-0.2843665;4.66103258
7.128893;6.56793613;-0.00011183;-1.74980468;-0.24863301;4.56938662
7.328893;6.29558555;-8.666e-05;-1.60808084;-0.21808543;4.46933262
7.528893;6.03517744;-6.526e-05;-1.4801265;-0.19186212;4.36312355
