distance;e_elst;e_exch;e_ind;e_disp;e_tot
1.528893;-700.52992584;1558.62760272;168.30359586;-81.37686454;945.0244082
1.728893;-374.11959307;860.4714472;15.04958451;-71.59593028;429.80550837
1.928893;-192.94595579;466.56615791;-27.99781829;-55.99184544;189.63053839
2.128893;-94.75906492;249.3449235;-34.19738732;-42.06761371;78.32085754
2.328893;-42.37025349;131.5651712;-30.55799661;-31.29156615;27.34535495
2.528893;-14.76633314;68.58024584;-25.57131874;-23.32667691;4.91591705
2.628893;-6.42379672;49.2952365;-23.31732596;-20.19280563;-0.63869181
2.728893;-0.45041479;35.33478551;-21.30808805;-17.52012791;-3.94384524
2.828893;3.7954703;25.26291002;-19.53812359;-15.23979921;-5.71954247
2.928893;6.78543273;18.01988399;-17.98303218;-13.2914845;-6.46919996
3.028893;8.86497635;12.82619651;-16.61213712;-11.62329387;-6.54425812
3.128893;10.28708092;9.11097844;-15.39572642;-10.19124802;-6.18891507
3.228893;11.2363052;6.45840708;-14.30791486;-8.95845269;-5.57165527
3.328893;11.84675615;4.56733746;-13.32754455;-7.89413321;-4.80758414
3.528893;12.412389;2.26363665;-11.62588854;-6.17273744;-3.12260033
3.728893;12.47683454;1.10341857;-10.19694053;-4.86918439;-1.48587182
3.928893;12.29237469;0.52617708;-8.98235977;-3.87293664;-0.03674464
4.128893;11.98583537;0.2447015;-7.94255664;-3.10538311;1.18259711
4.328893;11.62026508;0.11108146;-7.0479591;-2.50963898;2.17374847
4.528893;11.22687461;0.0494788;-6.27505287;-2.04392408;2.95737647
4.728893;10.82153419;0.02179519;-5.60462722;-1.67722692;3.56147525
4.928893;10.4130879;0.00954685;-5.02083187;-1.38637121;4.01543166
5.128893;10.00712938;0.00413606;-4.51053212;-1.15395525;4.34677807
5.328893;9.60771318;0.00171931;-4.06286913;-0.96685676;4.57970659
5.528893;9.2178155;0.00062429;-3.66880405;-0.8151377;4.73449803
5.728893;8.83954502;0.00012729;-3.3208013;-0.69123221;4.82763879
5.928893;8.47421989;-9.091e-05;-3.01254433;-0.58934666;4.872238
6.128893;8.12254524;-0.00017621;-2.73871198;-0.50501659;4.87864046
6.328893;7.7847145;-0.00019772;-2.49480757;-0.43477962;4.85492958
6.528893;7.46064635;-0.00018899;-2.27700104;-0.37593332;4.807523
6.728893;7.15007378;-0.00016667;-2.08202898;-0.32635494;4.74152319
6.928893;6.85263397;-0.00013938;-1.90709551;-0.2843665;4.66103258
7.128893;6.56793613;-0.00011183;-1.74980468;-0.24863301;4.56938662
7.328893;6.29558555;-8.666e-05;-1.60808084;-0.21808543;4.46933262
7.528893;6.03517744;-6.526e-05;-1.4801265;-0.19186212;4.36312355
