distance;e_elst;e_exch;e_ind;e_disp;e_tot;e_chelpg_hf;e_pol;e_pol_rahul;e_pair;e_int
1.528893;-700.52992584;1558.62760272;168.30359586;-81.37686454;945.0244082;49.59898193976913;-44.663311926664086;-17.439016088179986;940.088738186895;895.4254262602309
1.728893;-374.11959307;860.4714472;15.04958451;-71.59593028;429.80550837;34.199429929135086;-36.73330092020259;-39.22001661151842;432.3393793610675;395.6060784408649
1.928893;-192.94595579;466.56615791;-27.99781829;-55.99184544;189.63053839;26.164728678474894;-30.158579680148723;-43.29947826229873;193.62438939167384;163.4658097115251
2.128893;-94.75906492;249.3449235;-34.19738732;-42.06761371;78.32085754;21.759607326381825;-24.977968334063497;-40.94570936359946;81.53921854768168;56.56125021361818
2.328893;-42.37025349;131.5651712;-30.55799661;-31.29156615;27.34535495;19.202679958680065;-20.921632697190987;-36.603371686860896;29.064307688510922;8.142674991319936
2.428893;-26.35194645;95.13086678;-28.02986407;-26.99855435;13.7505019;18.320249822293786;-19.22781330959623;-34.28152706453272;14.658065387302443;-4.569747922293786
2.528893;-14.76633314;68.58024584;-25.57131874;-23.32667691;4.91591705;17.60789143286844;-17.717385385284633;-32.00476078655111;5.025411002416195;-12.691974382868437
2.628893;-6.42379672;49.2952365;-23.31732596;-20.19280563;-0.63869181;17.019354931806795;-16.365715649402322;-29.826347934547204;-1.2923310924044742;-17.658046741806796
2.728893;-0.45041479;35.33478551;-21.30808805;-17.52012791;-3.94384524;16.521162333988546;-15.151802711032058;-27.774081497220298;-5.313204862956486;-20.465007573988544
2.828893;3.7954703;25.26291002;-19.53812359;-15.23979921;-5.71954247;16.089012212569678;-14.05781759392458;-25.85979843655212;-7.7507370886450975;-21.808554682569678
2.928893;6.78543273;18.01988399;-17.98303218;-13.2914845;-6.46919996;15.705233142439264;-13.06863818818312;-24.08555439153436;-9.105794914256142;-22.174433102439263
3.028893;8.86497635;12.82619651;-16.61213712;-11.62329387;-6.54425812;15.356965486476001;-12.171421752623207;-22.44761038461161;-9.729801853852795;-21.901223606476
3.128893;10.28708092;9.11097844;-15.39572642;-10.19124802;-6.18891507;15.034854294445083;-11.355231674637958;-20.938988179613442;-9.868537689807125;-21.223769364445083
3.228893;11.2363052;6.45840708;-14.30791486;-8.95845269;-5.57165527;14.732104183741798;-10.610720779892993;-19.551089373350287;-9.693038673848804;-20.303759453741797
3.328893;11.84675615;4.56733746;-13.32754455;-7.89413321;-4.80758414;14.44379264344569;-9.929867077402935;-18.27470339428197;-9.321509706042754;-19.25137678344569
3.528893;12.412389;2.26363665;-11.62588854;-6.17273744;-3.12260033;13.897288335103584;-8.732397552260505;-16.019975941764265;-8.287491112843078;-17.019888665103583
3.728893;12.47683454;1.10341857;-10.19694053;-4.86918439;-1.48587182;13.377458081891815;-7.7177687026852135;-14.106395134831935;-7.145561199206601;-14.863329901891815
3.928893;12.29237469;0.52617708;-8.98235977;-3.87293664;-0.03674464;12.875458010009805;-6.851634932417334;-12.475151110903235;-6.060567717592471;-12.912202650009805
4.128893;11.98583537;0.2447015;-7.94255664;-3.10538311;1.18259711;12.387242166363894;-6.107387431608784;-11.07757333687452;-5.09725762475511;-11.204645056363894
4.328893;11.62026508;0.11108146;-7.0479591;-2.50963898;2.17374847;11.911258585573927;-5.4641134831625;-9.87401414624234;-4.273396632411428;-9.737510115573928
4.528893;11.22687461;0.0494788;-6.27505287;-2.04392408;2.95737647;11.4471986124865;-4.905169998587881;-8.832334494813193;-3.5846521438986203;-8.489822142486501
4.728893;10.82153419;0.02179519;-5.60462722;-1.67722692;3.56147525;10.995322031470696;-4.417166669634528;-7.926462901478812;-3.016680111836168;-7.433846781470696
4.928893;10.4130879;0.00954685;-5.02083187;-1.38637121;4.01543166;10.556097995984176;-3.989226992906004;-7.1351720115342365;-2.5514393430781723;-6.540666335984176
