distance,e_pair,e_lj
2.628893,-1.292331,-0.336692
2.728893,-5.313205,-5.791227
2.828893,-7.750737,-8.609245
2.928893,-9.105795,-9.880396
3.028893,-9.729802,-10.249042
3.128893,-9.868538,-10.100326
3.228893,-9.693039,-9.666018
3.328893,-9.321510,-9.085884
3.528893,-8.287491,-7.789785
3.728893,-7.145561,-6.547559
3.928893,-6.060568,-5.462152
4.128893,-5.097258,-4.549371
4.328893,-4.273397,-3.794443
4.528893,-3.584652,-3.174138
4.728893,-3.016680,-2.665142
4.928893,-2.551439,-2.246893
5.128893,-2.170800,-1.902212
5.328893,-1.858348,-1.617108
5.528893,-1.600233,-1.380316
5.728893,-1.385280,-1.182816
5.928893,-1.204763,-1.017386
6.128893,-1.051951,-0.878238
6.328893,-0.921738,-0.760722
6.528893,-0.810152,-0.661085
6.728893,-0.714095,-0.576289
6.928893,-0.631102,-0.503864
7.128893,-0.559170,-0.441791
7.328893,-0.496627,-0.388415
7.528893,-0.442085,-0.342373
