distance,e_int,e_lj
2.428893,-4.569748,2.899865
2.528893,-12.691974,-11.952120
2.628893,-17.658047,-19.643196
2.728893,-20.465008,-23.186908
2.828893,-21.808555,-24.332764
2.928893,-22.174433,-24.111338
3.028893,-21.901224,-23.135811
3.128893,-21.223769,-21.772769
3.228893,-20.303759,-20.241015
3.328893,-19.251377,-18.669803
3.528893,-17.019889,-15.673839
3.728893,-14.863330,-13.052638
3.928893,-12.912203,-10.849847
4.128893,-11.204645,-9.030766
4.328893,-9.737510,-7.538882
4.528893,-8.489822,-6.317188
4.728893,-7.433847,-5.315384
4.928893,-6.540666,-4.491488
5.128893,-5.783241,-3.811364
5.328893,-5.137805,-3.247588
5.528893,-4.584396,-2.778238
5.728893,-4.106730,-2.385807
5.928893,-3.691783,-2.056292
6.128893,-3.329193,-1.778462
6.328893,-3.010765,-1.543277
6.528893,-2.729893,-1.343430
6.728893,-2.481220,-1.172988
6.928893,-2.260336,-1.027117
7.128893,-2.063557,-0.901858
7.328893,-1.887754,-0.793954
7.528893,-1.730270,-0.700717
