distance;e_pol;e_pol_damp
0.587181;-107.45346232347241;15.782773777139724
0.787181;-87.40971878437361;-10.556606208735122
0.987181;-67.52213907336838;-29.54382140182616
1.187181;-51.10191042356413;-38.841081804211015
1.387181;-38.71225240902056;-40.809276178427154
1.587181;-29.738272332769043;-38.61168590443375
1.787181;-23.31197849779072;-34.618677039001284
1.987181;-18.679318945364166;-30.21212611090238
2.187181;-15.281961156037191;-26.057849350794065
2.387181;-12.734387337142918;-22.406275823730475
2.587181;-10.778135510550163;-19.30082884824745
2.787181;-9.241192375481933;-16.69694605206506
2.987181;-8.00838680239115;-14.521968708930627
3.187181;-7.001490658055293;-12.701893048973846
3.387181;-6.166327834065063;-11.171445025749337
3.587181;-5.464542764636905;-9.876526862863535
3.787181;-4.868351396365388;-8.77357065156686
3.987181;-4.357170685835941;-7.82789880581504
4.187181;-3.9154271269424616;-7.011977471720326
4.387181;-3.531108554006598;-6.303883572936479
4.587181;-3.194789129408203;-5.686061783973341
4.787181;-2.8989596828449895;-5.144353320817609
4.987181;-2.6375583106231066;-4.667249867474438
5.187181;-2.4056346818675394;-4.2453238591026246
5.387181;-2.1991053124471187;-3.870793263425072
5.587181;-2.0145719224187837;-3.5371877326693815
5.787181;-1.8491843714608691;-3.2390909044177034
5.987181;-1.700535671132069;-2.9719400032904444
6.187181;-1.5665804762644306;-2.7318687647941036
6.387181;-1.4455710370188675;-2.515583325352877
6.587181;-1.3360063261005108;-2.3202633844821063
