distance;e_elst;e_exch;e_ind;e_disp;e_tot
0.587181;-826.84342034;1833.34999457;66.71537262;-128.22745294;944.99449391
0.787181;-604.17247797;1376.52279074;12.08230999;-103.67817408;680.75444868
0.987181;-412.57798732;971.82056432;-18.53399707;-81.96612579;458.74245414
1.187181;-264.7355766;648.69352174;-31.17526355;-63.41423273;289.36844886
1.387181;-160.15755505;412.33653677;-33.57950622;-48.16114312;170.43833239
1.587181;-90.97200587;251.35668656;-31.27414715;-36.10598162;93.00455192
1.787181;-47.44568505;147.87638008;-27.35454689;-26.90234405;46.17380409
1.987181;-21.10773016;84.37519997;-23.26829353;-20.05392343;19.94525286
2.187181;-5.72417599;46.84789544;-19.5973274;-15.03459571;6.49179635
2.387181;2.9189515;25.38195186;-16.52124216;-11.37438705;0.40527415
2.587181;7.54747944;13.46641559;-14.02950561;-8.69804461;-1.71365519
2.787181;9.86365525;7.02789057;-12.02911331;-6.72551967;-1.86308717
2.987181;10.89207588;3.62221174;-10.40983336;-5.25578073;-1.15132645
3.187181;11.22366186;1.84587478;-9.07799556;-4.14771492;-0.15617384
3.387181;11.18399089;0.92738194;-7.96529426;-3.30277417;0.8433044
3.587181;10.95045141;0.45670929;-7.02432068;-2.65154503;1.73129499
3.787181;10.62411539;0.21905565;-6.22131579;-2.14484727;2.47700797
3.987181;10.26179724;0.10170268;-5.53126685;-1.74754451;3.08468857
4.187181;9.89143115;0.04539717;-4.93501425;-1.43396929;3.56784478
4.387181;9.524387;0.01928235;-4.41743552;-1.18492511;3.94130872
4.587181;9.16447155;0.00762897;-3.96629262;-0.98585951;4.21994839
4.787181;8.81271582;0.00265898;-3.57152734;-0.82568034;4.41816712
4.987181;8.4694358;0.00066156;-3.22482248;-0.6959111;4.54936378
5.187181;8.1350293;-6.783e-05;-2.91926003;-0.59005747;4.62564397
5.387181;7.81010664;-0.00028331;-2.64905558;-0.50312678;4.65764098
5.587181;7.49535314;-0.00030624;-2.40935451;-0.43126393;4.65442846
5.787181;7.19137893;-0.00026771;-2.19606643;-0.37147686;4.62356793
5.987181;6.89859114;-0.00021766;-2.00573895;-0.3214304;4.57120413
6.187181;6.61719965;-0.00017249;-1.83543938;-0.27929194;4.50229584
6.387181;6.34719246;-0.00013569;-1.68267037;-0.24361532;4.42077108
6.587181;6.08841411;-0.0001064;-1.5453043;-0.21325303;4.32975038
