distance;e_elst;e_exch;e_ind;e_disp;e_tot
0.587181;-826.84342034;1833.34999457;385.03965395;-79.69871587;1311.84751231
0.787181;-604.17247797;1376.52279074;216.47245994;-74.56997406;914.25279865
0.987181;-412.57798732;971.82056432;93.39901755;-66.45428812;586.18730643
1.187181;-264.7355766;648.69352174;21.60626408;-55.93804676;349.62616246
1.387181;-160.15755505;412.33653677;-11.81416329;-44.85666555;195.50815289
1.587181;-90.97200587;251.35668656;-23.30364183;-34.75536892;102.32566994
1.787181;-47.44568505;147.87638008;-24.72731153;-26.3897803;49.3136032
1.987181;-21.10773016;84.37519997;-22.48249816;-19.87323912;20.91173255
2.187181;-5.72417599;46.84789544;-19.38468539;-14.9758566;6.76317746
2.387181;2.9189515;25.38195186;-16.47026819;-11.35719213;0.47344304
2.587181;7.54747944;13.46641559;-14.01932032;-8.69379362;-1.69921891
2.787181;9.86365525;7.02789057;-12.02775291;-6.72481047;-1.86101757
2.987181;10.89207588;3.62221174;-10.40990697;-5.25582898;-1.15144832
3.187181;11.22366186;1.84587478;-9.07813265;-4.14782842;-0.15642443
3.387181;11.18399089;0.92738194;-7.96535746;-3.30284006;0.84317531
3.587181;10.95045141;0.45670929;-7.02434302;-2.6515738;1.73124388
3.787181;10.62411539;0.21905565;-6.22132309;-2.14485835;2.47698959
3.987181;10.26179724;0.10170268;-5.53126931;-1.74754858;3.08468203
4.187181;9.89143115;0.04539717;-4.93501518;-1.4339708;3.56784235
4.387181;9.524387;0.01928235;-4.41743593;-1.1849257;3.94130772
4.587181;9.16447155;0.00762897;-3.96629262;-0.98585951;4.21994839
4.787181;8.81271582;0.00265898;-3.57152734;-0.82568034;4.41816712
4.987181;8.4694358;0.00066156;-3.22482248;-0.6959111;4.54936378
5.187181;8.1350293;-6.783e-05;-2.91926003;-0.59005747;4.62564397
5.387181;7.81010664;-0.00028331;-2.64905558;-0.50312678;4.65764098
5.587181;7.49535314;-0.00030624;-2.40935451;-0.43126393;4.65442846
5.787181;7.19137893;-0.00026771;-2.19606643;-0.37147686;4.62356793
5.987181;6.89859114;-0.00021766;-2.00573895;-0.3214304;4.57120413
6.187181;6.61719965;-0.00017249;-1.83543938;-0.27929194;4.50229584
6.387181;6.34719246;-0.00013569;-1.68267037;-0.24361532;4.42077108
6.587181;6.08841411;-0.0001064;-1.5453043;-0.21325303;4.32975038
