distance;e_elst;e_exch;e_ind;e_disp;e_tot;e_chelpg_hf;e_pol;e_pol_rahul;e_pair;e_int
0.587181;-826.84342034;1833.34999457;385.03965395;-79.69871587;1311.84751231;-75.97246558662621;-107.45346232347241;15.782773777139724;1495.2734402200986;1387.8199778966261
0.787181;-604.17247797;1376.52279074;216.47245994;-74.56997406;914.25279865;-47.99250276525792;-87.40971878437361;-10.556606208735122;1049.6550201996315;962.2453014152579
0.987181;-412.57798732;971.82056432;93.39901755;-66.45428812;586.18730643;-25.304356549142156;-67.52213907336838;-29.54382140182616;679.0138020525106;611.4916629791422
1.087181;-332.96864838;799.22057881;51.65713441;-61.38759934;456.52146551;-16.501757930481375;-58.79998525195301;-35.308515025545724;531.8232086924344;473.0232234404814
1.187181;-264.7355766;648.69352174;21.60626408;-55.93804676;349.62616246;-9.315920568292185;-51.10191042356413;-38.841081804211015;410.0439934518563;358.9420830282922
1.287181;-207.43229807;520.12044677;1.184691;-50.35413895;263.51870075;-3.5740749843592687;-44.428343014618946;-40.53395527518002;311.5211187489782;267.09277573435924
1.387181;-160.15755505;412.33653677;-11.81416329;-44.85666555;195.50815289;0.9294996967697585;-38.71225240902056;-40.809276178427154;233.29090560225077;194.57865319323022
1.487181;-121.75453196;323.49008537;-19.41681594;-39.61781024;142.70092723;4.4030622315324175;-33.85292472880816;-40.0581701616981;172.1507897272757;138.29786499846756
1.587181;-90.97200587;251.35668656;-23.30364183;-34.75536892;102.32566994;7.039677074568811;-29.738272332769043;-38.61168590443375;125.02426519820023;95.28599286543118
1.687181;-66.5802447;193.58520828;-24.76406964;-30.33706525;71.90382869;9.008590294916193;-26.258244334231286;-36.732529688395005;89.1534827293151;62.89523839508381
1.787181;-47.44568505;147.87638008;-24.72731153;-26.3897803;49.3136032;10.452544854560351;-23.31197849779072;-34.618677039001284;62.17303684323037;38.86105834543965
1.887181;-32.57092367;112.10226875;-23.82850257;-22.90994537;32.79289715;11.488597764607777;-20.810889899503675;-32.412589062096444;42.115189284895905;21.304299385392227
1.987181;-21.10773016;84.37519997;-22.48249816;-19.87323912;20.91173255;12.210740593967827;-18.679318945364166;-30.21212611090238;27.38031090139634;8.700991956032173
2.087181;-12.35117323;63.07530279;-20.94928327;-17.24282752;12.53201877;12.693234275336339;-16.853843815708444;-28.081010471554023;16.692628310372108;-0.16121550533633844
2.187181;-5.72417599;46.84789544;-19.38468539;-14.9758566;6.76317746;12.994016814562821;-15.281961156037191;-26.057849350794065;9.05112180147437;-6.230839354562821
2.287181;-0.75928295;34.58233007;-17.87670071;-13.02813207;2.91821433;13.157845121205474;-13.92055513713634;-24.16341891091949;3.6809243459308654;-10.239630791205474
2.387181;2.9189515;25.38195186;-16.47026819;-11.35719213;0.47344304;13.219022737616669;-12.734387337142918;-22.406275823730475;-0.011192360473751606;-12.74557969761667
2.587181;7.54747944;13.46641559;-14.01932032;-8.69379362;-1.69921891;13.131607700668082;-10.778135510550163;-19.30082884824745;-4.05269110011792;-14.830826610668083
2.787181;9.86365525;7.02789057;-12.02775291;-6.72481047;-1.86101757;12.873382041335288;-9.241192375481933;-16.69694605206506;-5.493207235853355;-14.734399611335288
2.987181;10.89207588;3.62221174;-10.40990697;-5.25582898;-1.15144832;12.524675651120099;-8.00838680239115;-14.521968708930627;-5.667737168728948;-13.676123971120099
3.187181;11.22366186;1.84587478;-9.07813265;-4.14782842;-0.15642443;12.130636695200161;-7.001490658055293;-12.701893048973846;-5.285570467144868;-12.287061125200161
3.387181;11.18399089;0.92738194;-7.96535746;-3.30284006;0.84317531;11.716523172508014;-6.166327834065063;-11.171445025749337;-4.707020028442951;-10.873347862508014
3.587181;10.95045141;0.45670929;-7.02434302;-2.6515738;1.73124388;11.296458624684767;-5.464542764636905;-9.876526862863535;-4.100671980047862;-9.565214744684766
3.787181;10.62411539;0.21905565;-6.22132309;-2.14485835;2.47698959;10.878369402231868;-4.868351396365388;-8.77357065156686;-3.5330284158664798;-8.401379812231868
3.987181;10.26179724;0.10170268;-5.53126931;-1.74754858;3.08468203;10.466739299799823;-4.357170685835941;-7.82789880581504;-3.024886583963882;-7.382057269799823
4.187181;9.89143115;0.04539717;-4.93501518;-1.4339708;3.56784235;10.064134658072678;-3.9154271269424616;-7.011977471720326;-2.5808651811302172;-6.496292308072679
4.387181;9.524387;0.01928235;-4.41743593;-1.1849257;3.94130772;9.672043977155656;-3.531108554006598;-6.303883572936479;-2.199627703149058;-5.730736257155656
4.587181;9.16447155;0.00762897;-3.96629262;-0.98585951;4.21994839;9.291338401087351;-3.194789129408203;-5.686061783973341;-1.8766008816791486;-5.0713900110873515
4.787181;8.81271582;0.00265898;-3.57152734;-0.82568034;4.41816712;8.922523943670706;-2.8989596828449895;-5.144353320817609;-1.6053971408257168;-4.504356823670706
4.987181;8.4694358;0.00066156;-3.22482248;-0.6959111;4.54936378;8.56588005611486;-2.6375583106231066;-4.667249867474438;-1.3789579654917534;-4.01651627611486
5.187181;8.1350293;-6.783e-05;-2.91926003;-0.59005747;4.62564397;8.22153657546928;-2.4056346818675394;-4.2453238591026246;-1.1902579236017408;-3.59589260546928
5.387181;7.81010664;-0.00028331;-2.64905558;-0.50312678;4.65764098;7.8895174964946255;-2.1991053124471187;-3.870793263425072;-1.0327712040475068;-3.2318765164946255
5.587181;7.49535314;-0.00030624;-2.40935451;-0.43126393;4.65442846;7.569766999507961;-2.0145719224187837;-3.5371877326693815;-0.9007666170891775;-2.915338539507961
5.787181;7.19137893;-0.00026771;-2.19606643;-0.37147686;4.62356793;7.262166031946228;-1.8491843714608691;-3.2390909044177034;-0.7894137304853583;-2.6385981019462275
5.987181;6.89859114;-0.00021766;-2.00573895;-0.3214304;4.57120413;6.966543852375053;-1.700535671132069;-2.9719400032904444;-0.694804051242984;-2.395339722375053
6.187181;6.61719965;-0.00017249;-1.83543938;-0.27929194;4.50229584;6.682686842195447;-1.5665804762644306;-2.7318687647941036;-0.613810525931016;-2.1803910021954467
6.387181;6.34719246;-0.00013569;-1.68267037;-0.24361532;4.42077108;6.410345764595958;-1.4455710370188675;-2.515583325352877;-0.5440036475770904;-1.9895746845959579
6.587181;6.08841411;-0.0001064;-1.5453043;-0.21325303;4.32975038;6.149242057027249;-1.3360063261005108;-2.3202633844821063;-0.48348535092673783;-1.8194916770272487
