distance,e_pair,e_lj
2.287181,3.680924,4.275724
2.387181,-0.011192,-0.510432
2.587181,-4.052691,-4.883299
2.787181,-5.493207,-5.937205
2.987181,-5.667737,-5.726276
3.187181,-5.285570,-5.094137
3.387181,-4.707020,-4.379534
3.587181,-4.100672,-3.710041
3.787181,-3.533028,-3.125672
3.987181,-3.024887,-2.631296
4.187181,-2.580865,-2.218850
4.387181,-2.199628,-1.876606
4.587181,-1.876601,-1.592861
4.787181,-1.605397,-1.357241
4.987181,-1.378958,-1.161011
5.187181,-1.190258,-0.996993
5.387181,-1.032771,-0.859360
5.587181,-0.900767,-0.743398
5.787181,-0.789414,-0.645301
5.987181,-0.694804,-0.561991
6.187181,-0.613811,-0.490968
6.387181,-0.544004,-0.430199
6.587181,-0.483485,-0.378021
