distance;e_mult_2;e_mult_2q;e_chelpg_hf;e_chelpg_mp2;e_chelpg_dft
0.933539;-8.423808218321321;-8.549651002225461;-3.6693740420103147;-3.4588818103764645;-2.7511674635455825
1.133539;-12.87008676542082;-12.995494645542227;-10.419773880172611;-10.309802527517835;-9.948924702696107
1.333539;-14.994063098296467;-15.100321024273601;-13.727105974571778;-13.667639095607067;-13.481909770896614
1.533539;-15.86525093370544;-15.948212250071926;-15.203635128214867;-15.169911343861756;-15.073049632394756
1.733539;-16.065261481125095;-16.125537011676066;-15.714647383840097;-15.694674255501754;-15.644021932949112
1.933539;-15.904298081984992;-15.943623952914592;-15.71362851730481;-15.701540130560662;-15.67578427158119
2.133539;-15.548777663556754;-15.568960795168042;-15.43941815612293;-15.432258833827373;-15.420499237566752
2.333539;-15.089461923125182;-15.09220977672168;-15.019947627900862;-15.016156164491752;-15.012645931000778
2.533539;-14.576910044534516;-14.56388212399078;-14.525239790363177;-14.523934379017382;-14.525531880299088
2.733539;-14.039964463533376;-14.012830386524458;-13.994536112662864;-13.99517308752109;-14.000085468362018
2.933539;-13.495505304700128;-13.455962654397783;-13.450370958410153;-13.452579839767342;-13.459730681869367
3.133539;-12.953673710638121;-12.903431787721727;-12.905999621455173;-12.90950263852738;-12.918207481245988
3.333539;-12.420712200396876;-12.361458127729545;-12.369388951866851;-12.373961611372359;-12.383758405174042
3.533539;-11.900534976192857;-11.833895755990753;-11.845401108501807;-11.850852854691476;-11.8614117362725
3.733539;-11.395613136489928;-11.32312195992651;-11.33701319410638;-11.343177882723408;-11.354252123248532
3.933539;-10.907486123865812;-10.830556812534532;-10.846015179966065;-10.852746278107745;-10.864144847744765
4.133539;-10.437066744621921;-10.356977284512128;-10.37342138345711;-10.3805893774645;-10.392160985368958
4.333539;-9.984830404818457;-9.902714891311877;-9.919721958582395;-9.927212740005036;-9.938836050918239
4.533539;-9.550938008606247;-9.467785563317316;-9.48504304914148;-9.492756696118775;-9.504333939913172
4.733539;-9.135319707916286;-9.051978713137062;-9.069253276370006;-9.077102970624923;-9.088555475087796
4.933539;-8.737734624138586;-8.654920702935852;-8.672037523906827;-8.679948501142974;-8.691213366365238
5.133539;-8.357815098394905;-8.276121489638411;-8.292949914822394;-8.300858419974688;-8.311885913186508
5.333539;-7.995100442343923;-7.915009685889313;-7.931452916988028;-7.939305167361219;-7.950056605911091
5.533539;-7.649063189739694;-7.5709592963652526;-7.586946771665418;-7.594697942060845;-7.60514393135148
5.733539;-7.319129750084419;-7.243310259132057;-7.258791898360163;-7.266405143859437;-7.276524089417582
5.933539;-7.004696739302128;-6.931384255580644;-6.946326039150012;-6.953771568833197;-6.963548409795536
6.133539;-6.705143892439156;-6.634496842666223;-6.6488773731849475;-6.656131584409232;-6.665556711262877
6.333539;-6.419844233892337;-6.351966695811201;-6.365774498266323;-6.372819177460814;-6.381887505935853
6.533539;-6.148172029404894;-6.083122569358859;-6.096353955836694;-6.103175548589107;-6.111885727266502
6.733539;-5.889508937811101;-5.827308450852813;-5.8399658220064365;-5.846554772680318;-5.854908505729877
6.933539;-5.643248701429397;-5.583887287359135;-5.595977774981521;-5.602327934196553;-5.610329403498862
