distance;e_pol;e_pol_damp
0.933539;-11.968321939309716;-3.728002285554106
1.133539;-13.526076814494997;-21.331630477743744
1.333539;-13.570833414516693;-25.52271039399254
1.533539;-12.817392016678175;-24.74014354740273
1.733539;-11.737665429874781;-22.450044668384056
1.933539;-10.58772117840689;-19.936189696251265
2.133539;-9.488688793920975;-17.615430838478005
2.333539;-8.488536170966196;-15.585530921651559
2.533539;-7.599102466671;-13.837845571686342
2.733539;-6.816045167361336;-12.33515495077284
2.933539;-6.1288565021727015;-11.037930114904801
3.133539;-5.525568960550865;-9.911809999669547
3.333539;-4.9947743259104325;-8.92870034491081
3.533539;-4.526350683896425;-8.066003459402335
3.733539;-4.111605143306908;-7.305513901801886
3.933539;-3.7431771851240727;-6.632436988324434
4.133539;-3.4148631436515715;-6.034619444190167
4.333539;-3.1214317104445923;-5.501971184749941
4.533539;-2.8584574350944485;-5.026034640155517
4.733539;-2.6221798443961486;-4.599661916184679
4.933539;-2.409387742445703;-4.216769500431183
5.133539;-2.2173254037556975;-3.8721488645759323
5.333539;-2.0436167883973426;-3.5613178447557576
5.533539;-1.886204214616564;-3.280402270321687
5.733539;-1.7432985028622114;-3.026040441983402
5.933539;-1.6133381985921618;-2.795305180412914
6.133539;-1.4949559973023394;-2.5856396089783464
6.333539;-1.386950913010063;-2.3948038280869963
6.533539;-1.28826505789942;-2.220830334902996
6.733539;-1.1979641516019792;-2.0619865395007593
6.933539;-1.1152210698759892;-1.9167430908280292
