distance;e_elst;e_exch;e_ind;e_disp;e_tot
0.933539;-573.39433808;1533.08757296;-143.74961341;-279.48167273;536.46194873
1.133539;-336.10124473;907.17494506;-92.58039536;-202.7896578;275.70364717
1.333539;-196.24000459;525.64824687;-63.18579815;-148.27234524;117.95009889
1.533539;-115.77157652;298.92846234;-44.37187801;-109.52878194;29.25622587
1.733539;-70.27679647;167.09805125;-31.97802121;-81.74813294;-16.90489936
1.933539;-44.84326975;91.93202881;-23.7432829;-61.64589357;-38.30041742
2.133539;-30.71968919;49.84460306;-18.23488008;-46.94703385;-46.05700006
2.333539;-22.8616853;26.67706829;-14.50382044;-36.09527949;-46.78371695
2.533539;-18.4160466;14.11991619;-11.91674202;-28.01307406;-44.22594649
2.733539;-15.80617092;7.40249106;-10.05738209;-21.94265272;-40.40371468
2.933539;-14.18068541;3.84610053;-8.66154395;-17.34482283;-36.34095166
3.133539;-13.08814046;1.97845759;-7.56808596;-13.83287519;-32.51064401
3.333539;-12.28968857;1.00481533;-6.68054482;-11.1276079;-29.09302595
3.533539;-11.65682795;0.50160148;-5.94048926;-9.02614233;-26.12185806
3.733539;-11.11838182;0.24461687;-5.31121794;-7.38006924;-23.56505213
3.933539;-10.63427312;0.11558104;-4.76863381;-6.08006142;-21.36738732
4.133539;-10.18249804;0.0522871;-4.29618091;-5.04500771;-19.47139956
4.333539;-9.7518495;0.02221311;-3.88190273;-4.2143328;-17.82587192
4.533539;-9.33750197;0.00853288;-3.51674682;-3.54251371;-16.38822962
4.733539;-8.9379525;0.00268153;-3.19355963;-2.9951277;-15.12395831
4.933539;-8.55311539;0.00040156;-2.9065072;-2.54597492;-14.00519595
5.133539;-8.18342707;-0.000352;-2.65073733;-2.17497422;-13.00949062
5.333539;-7.82918488;-0.00051356;-2.4221646;-1.86662003;-12.11848307
5.533539;-7.49054094;-0.00048013;-2.21733227;-1.60884923;-11.31720257
5.733539;-7.16741231;-0.00040243;-2.03330154;-1.39220288;-10.59331916
5.933539;-6.85946476;-0.0003276;-1.8675822;-1.20920969;-9.93658424
6.133539;-6.56624328;-0.0002649;-1.71803286;-1.05392351;-9.33846456
6.333539;-6.28718816;-0.00021302;-1.582811;-0.9215784;-8.79179058
6.533539;-6.02167692;-0.00016949;-1.460319;-0.80832883;-8.29049424
6.733539;-5.76909878;-0.00013289;-1.34916319;-0.71105228;-7.82944714
6.933539;-5.52881428;-0.00010255;-1.24813742;-0.62719856;-7.40425281
