distance;e_elst;e_exch;e_ind;e_disp;e_tot;e_chelpg_hf;e_pol;e_pol_rahul;e_pair;e_int
0.933539;-573.39433808;1533.08757296;156.68351474;-242.31564092;874.06110869;-3.6693740420103147;-11.968321939309716;-3.728002285554106;889.69880467132;877.7304827320103
1.033539;-439.55366118;1182.60142748;69.96014223;-213.83097904;599.17692949;-7.616640108485191;-12.986647874701504;-15.044692148475038;619.7802174731867;606.7935695984852
1.133539;-336.10124473;907.17494506;17.62180622;-187.38819288;401.30731366;-10.419773880172611;-13.526076814494997;-21.331630477743744;425.2531643546676;411.7270875401726
1.233539;-256.73298658;692.25657594;-11.43051915;-163.46356845;260.62950176;-12.380630229086119;-13.688041741608437;-24.41366714498865;286.6981737306946;273.0101319890861
1.333539;-196.24000459;525.64824687;-25.82118898;-142.19057666;161.39647664;-13.727105974571778;-13.570833414516693;-25.52271039399254;188.69441602908847;175.12358261457177
1.433539;-150.38840432;397.27197595;-31.5375674;-123.5005939;91.84541033;-14.627300434483903;-13.2583965679229;-25.46180823641656;119.73110733240681;106.4727107644839
1.533539;-115.77157652;298.92846234;-32.45280167;-107.24388041;43.46020374;-15.203635128214867;-12.817392016678175;-24.74014354740273;71.48123088489304;58.66383886821487
1.633539;-89.76553913;223.95711474;-30.933919;-93.1253257;10.13233092;-15.544733117591663;-12.298235757284296;-23.67280285429852;37.97529979487596;25.677064037591663
1.733539;-70.27679647;167.09805125;-28.35826741;-80.9311585;-12.46817113;-15.714647383840097;-11.737665429874781;-22.450044668384056;14.984141683714878;3.246476253840097
1.833539;-55.70952699;124.17955109;-25.48186699;-70.4199542;-27.43179709;-15.759730360446971;-11.161596339569925;-21.18350551319436;-0.5104703899831033;-11.672066729553029
1.933539;-44.84326975;91.93202881;-22.69032972;-61.36755365;-36.96912432;-15.71362851730481;-10.58772117840689;-19.936189696251265;-10.667774624288297;-21.255495802695187
2.033539;-36.74843304;67.81015488;-20.15743037;-53.57231401;-42.66802254;-15.600868631648726;-10.027666512300575;-18.741548931711247;-17.039487396050703;-27.067153908351276
2.133539;-30.71968919;49.84460306;-17.941214;-46.85665084;-45.67295097;-15.43941815612293;-9.488688793920975;-17.615430838478005;-20.744844019956098;-30.233532813877073
2.233539;-26.22425211;36.52009444;-16.04024707;-41.06606865;-46.81047338;-15.242510472123442;-8.974962763719239;-16.563459168133743;-22.593000144157315;-31.567962907876556
2.333539;-22.8616853;26.67706829;-14.42550244;-36.06734098;-46.67746043;-15.019947627900862;-8.488536170966196;-15.585530921651559;-23.16897663113294;-31.657512802099134
2.533539;-18.4160466;14.11991619;-11.89685691;-28.00487052;-44.19785784;-14.525239790363177;-7.599102466671;-13.837845571686342;-22.073515582965822;-29.67261804963682
2.733539;-15.80617092;7.40249106;-10.05258912;-21.94036647;-40.39663544;-13.994536112662864;-6.816045167361336;-12.33515495077284;-19.586054159975795;-26.402099327337133
2.933539;-14.18068541;3.84610053;-8.66044428;-17.34421578;-36.33924494;-13.450370958410153;-6.1288565021727015;-11.037930114904801;-16.760017479417144;-22.888873981589846
3.133539;-13.08814046;1.97845759;-7.56784265;-13.83271966;-32.51024518;-12.905999621455173;-5.525568960550865;-9.911809999669547;-14.07867659799396;-19.604245558544825
3.333539;-12.28968857;1.00481533;-6.68049143;-11.12756846;-29.09293314;-12.369388951866851;-4.9947743259104325;-8.92870034491081;-11.728769862222714;-16.723544188133147
3.533539;-11.65682795;0.50160148;-5.94047714;-9.02613208;-26.12183569;-11.845401108501807;-4.526350683896425;-8.066003459402335;-9.750083897601769;-14.276434581498194
3.733539;-11.11838182;0.24461687;-5.31121498;-7.38006642;-23.56504635;-11.33701319410638;-4.111605143306908;-7.305513901801886;-8.116428012586713;-12.22803315589362
3.933539;-10.63427312;0.11558104;-4.76863301;-6.0800606;-21.3673857;-10.846015179966065;-3.7431771851240727;-6.632436988324434;-6.778193334909862;-10.521370520033935
4.133539;-10.18249804;0.0522871;-4.29618068;-5.04500746;-19.47139909;-10.37342138345711;-3.4148631436515715;-6.034619444190167;-5.683114562891317;-9.097977706542888
4.333539;-9.7518495;0.02221311;-3.88190266;-4.21433273;-17.82587178;-9.919721958582395;-3.1214317104445923;-5.501971184749941;-4.784718110973013;-7.906149821417605
4.533539;-9.33750197;0.00853288;-3.51674682;-3.54251371;-16.38822962;-9.48504304914148;-2.8584574350944485;-5.026034640155517;-4.044729135764072;-6.903186570858521
4.733539;-8.9379525;0.00268153;-3.19355963;-2.9951277;-15.12395831;-9.069253276370006;-2.6221798443961486;-4.599661916184679;-3.4325251892338464;-6.054705033629995
4.933539;-8.55311539;0.00040156;-2.9065072;-2.54597492;-14.00519595;-8.672037523906827;-2.409387742445703;-4.216769500431183;-2.9237706836474695;-5.333158426093172
5.133539;-8.18342707;-0.000352;-2.65073733;-2.17497422;-13.00949062;-8.292949914822394;-2.2173254037556975;-3.8721488645759323;-2.499215301421908;-4.716540705177605
5.333539;-7.82918488;-0.00051356;-2.4221646;-1.86662003;-12.11848307;-7.931452916988028;-2.0436167883973426;-3.5613178447557576;-2.1434133646146294;-4.187030153011972
5.533539;-7.49054094;-0.00048013;-2.21733227;-1.60884923;-11.31720257;-7.586946771665418;-1.886204214616564;-3.280402270321687;-1.8440515837180171;-3.730255798334581
5.733539;-7.16741231;-0.00040243;-2.03330154;-1.39220288;-10.59331916;-7.258791898360163;-1.7432985028622114;-3.026040441983402;-1.591228758777626;-3.3345272616398374
5.933539;-6.85946476;-0.0003276;-1.8675822;-1.20920969;-9.93658424;-6.946326039150012;-1.6133381985921618;-2.795305180412914;-1.3769200022578263;-2.990258200849988
