distance,e_pair,e_lj
1.833539,-0.510470,1.449263
1.933539,-10.667775,-11.639998
2.033539,-17.039487,-18.666332
2.133539,-20.744844,-22.062436
2.233539,-22.593000,-23.291033
2.333539,-23.168977,-23.241517
2.533539,-22.073516,-21.278860
2.733539,-19.586054,-18.470270
2.933539,-16.760017,-15.669544
3.133539,-14.078677,-13.166430
3.333539,-11.728770,-11.028887
3.533539,-9.750084,-9.240960
3.733539,-8.116428,-7.759093
3.933539,-6.778193,-6.534806
4.133539,-5.683115,-5.523265
4.333539,-4.784718,-4.685928
4.533539,-4.044729,-3.990777
4.733539,-3.432525,-3.411666
4.933539,-2.923771,-2.927417
5.133539,-2.499215,-2.520928
5.333539,-2.143413,-2.178395
5.533539,-1.844052,-1.888656
5.733539,-1.591229,-1.642665
5.933539,-1.376920,-1.433065
6.133539,-1.194631,-1.253853
6.333539,-1.039065,-1.100114
6.533539,-0.905875,-0.967803
6.733539,-0.791517,-0.853585
6.933539,-0.693054,-0.754693
