distance,e_int,e_lj
1.733539,3.246476,8.422708
1.833539,-11.672067,-13.352902
1.933539,-21.255496,-24.951746
2.033539,-27.067154,-30.571355
2.133539,-30.233533,-32.683341
2.233539,-31.567963,-32.760793
2.333539,-31.657513,-31.689488
2.533539,-29.672618,-28.029448
2.733539,-26.402099,-23.903677
2.933539,-22.888874,-20.077360
3.133539,-19.604246,-16.769995
3.333539,-16.723544,-13.996513
3.533539,-14.276435,-11.701487
3.733539,-12.228033,-9.811974
3.933539,-10.521371,-8.257492
4.133539,-9.097978,-6.976599
4.333539,-7.906150,-5.918095
4.533539,-6.903187,-5.040241
4.733539,-6.054705,-4.309349
4.933539,-5.333158,-3.698347
5.133539,-4.716541,-3.185491
5.333539,-4.187030,-2.753290
5.533539,-3.730256,-2.387639
5.733539,-3.334527,-2.077123
5.933539,-2.990258,-1.812473
6.133539,-2.689587,-1.586126
6.333539,-2.426016,-1.391893
6.533539,-2.194140,-1.224685
6.733539,-1.989481,-1.080299
6.933539,-1.808275,-0.955255
