distance;e_lj;e_lj_damp
1.634731;0.278312850282493;11.558459540155981
1.834731;-12.602567328995006;-2.2556479989479783
2.034731;-17.507067774737166;-8.26259711859651
2.234731;-18.269658542778423;-10.114212324232199
2.434731;-17.041687928881217;-9.88242576726252
2.634731;-15.021333782160625;-8.740243053263008
2.834731;-12.843087474263342;-7.322604399464835
3.034731;-10.809162187801114;-5.942650047574817
3.234731;-9.037228179130835;-4.732066743613865
3.434731;-7.548531642255327;-3.7259133563880287
3.634731;-6.319076568294082;-2.9125359792863277
3.834731;-5.3092822667297535;-2.2628981669131774
4.034731;-4.479173992905059;-1.7458428684995368
4.234731;-3.7943270404765412;-1.334250486860804
4.434731;-3.226987801637316;-1.0064026238133748
4.634731;-2.7551990876220627;-0.7453328064433355
4.834731;-2.3613783057705833;-0.5375978707815685
5.034731;-2.0313544351085207;-0.37247435228981685
5.234731;-1.7535523641404476;-0.2412719278763249
5.434731;-1.518615797146469;-0.1370600053337636
5.634731;-1.3189705287492972;-0.05431404883394064
5.834731;-1.148552710719053;0.011289578336016959
6.034731;-1.0025143002250494;0.06311464834017189
6.234731;-0.876957376078181;0.10378756296219516
6.434731;-0.7686880001246987;0.1354084767479864
6.634731;-0.6751065876220583;0.15963239792053585
6.834731;-0.594048208764816;0.17780552515630377
7.034731;-0.5236889651320502;0.19103964336042045
7.234731;-0.462479259863358;0.20026294890470941
7.434731;-0.40912423919169694;0.20622638822546824
7.634731;-0.36252111192772785;0.20955529827471664
7.834731;-0.3217133577765704;0.2107859368428413
8.034731;-0.2859170902171365;0.2103313168737948
