distance;e_pol;e_pol_damp
1.434731;-18.955641100528027;-30.642436859747455
1.634731;-15.996285706960787;-27.276432396834274
1.834731;-13.5969610425707;-23.943880372617727
2.034731;-11.65086304858695;-20.89533370472761
2.234731;-10.06305216570249;-18.218498384248715
2.434731;-8.756513435018894;-15.915775596637591
2.634731;-7.671247329224994;-13.95233805812261
2.834731;-6.761264816622142;-12.281747891420649
3.034731;-5.991436195090088;-10.857948335316383
3.234731;-5.334826273770936;-9.639987709287906
3.434731;-4.770622964582913;-8.59324125045021
3.634731;-4.282587577329179;-7.689128166336933
3.834731;-3.8579146318922946;-6.904298731708871
4.034731;-3.486397179603164;-6.219728304008687
4.234731;-3.1598146588589473;-5.619891212474685
4.434731;-2.8714812599808037;-5.092066437804745
4.634731;-2.615909870923148;-4.625776152101875
4.834731;-2.38855953539612;-4.212339970385135
5.034731;-2.185643652794964;-3.8445237356136683
5.234731;-2.0039827403257133;-3.5162631765898356
5.434731;-1.8408902091113248;-3.2224460009240303
5.634731;-1.694082853749405;-2.9587393336647616
5.834731;-1.561610037406771;-2.721452326461841
6.034731;-1.4417971672767629;-2.5074261158419837
6.234731;-1.3332002029560268;-2.313945141996403
6.434731;-1.2345687641294931;-2.1386652410021783
6.634731;-1.1448160008808246;-1.9795549864234188
6.834731;-1.0629938267484178;-1.8348475606695376
7.034731;-0.988272437489186;-1.7030010459816567
7.234731;-0.9199232795022173;-1.5826654882702846
7.434731;-0.8573048134983932;-1.4726554409155583
7.634731;-0.7998505571733732;-1.3719269673758177
7.834731;-0.7470589966790359;-1.2795582912984476
8.034731;-0.6984850387431719;-1.1947334458341032
