distance;e_elst;e_exch;e_ind;e_disp;e_tot
1.434731;-58.88703102;169.25275185;-39.47238745;-68.0833916;2.80994177
1.634731;-39.10801768;98.24881257;-32.68488097;-52.00638881;-25.55047488
1.834731;-27.65786899;55.72987731;-26.18617194;-39.81223514;-37.92639876
2.034731;-21.10630853;30.95005719;-20.96269874;-30.63450188;-41.75345197
2.234731;-17.322166;16.86708251;-17.00814826;-23.74055782;-41.20378957
2.434731;-15.05990581;9.04374941;-14.04358135;-18.55029161;-38.61002936
2.634731;-13.62841392;4.78251102;-11.79138351;-14.62328871;-35.26057512
2.834731;-12.65223994;2.49851594;-10.04361293;-11.63257083;-31.82990777
3.034731;-11.92972632;1.29001852;-8.65701583;-9.33714085;-28.63386449
3.234731;-11.35385713;0.65756597;-7.5343215;-7.56009621;-25.79070887
3.434731;-10.86540041;0.33012302;-6.60889299;-6.17224427;-23.31641465
3.634731;-10.42880571;0.16271176;-5.83436369;-5.07908661;-21.17954426
3.834731;-10.02237345;0.07849564;-5.17792112;-4.21091665;-19.33271557
4.034731;-9.63384595;0.03700814;-4.61592251;-3.51584527;-17.72860558
4.234731;-9.25738663;0.01707172;-4.13092898;-2.95495627;-16.32620016
4.434731;-8.89111339;0.00772629;-3.70971426;-2.49887347;-15.09197484
4.634731;-8.53516586;0.00341974;-3.34193935;-2.12528476;-13.99897024
4.834731;-8.19027197;0.00143595;-3.01931465;-1.81712879;-13.02527946
5.034731;-7.85712133;0.0005055;-2.73510332;-1.56126721;-12.15298636
5.234731;-7.53605576;6.15e-05;-2.48375699;-1.34750657;-11.36725783
5.434731;-7.22717564;-0.00014386;-2.26068539;-1.16788168;-10.65588657
5.634731;-6.93037248;-0.00022327;-2.0620685;-1.01612286;-10.00878711
5.834731;-6.64547448;-0.00023442;-1.88469932;-0.88726049;-9.41766872
6.034731;-6.37227456;-0.00021116;-1.72588156;-0.77732847;-8.87569575
6.234731;-6.11055011;-0.0001744;-1.58332097;-0.68313987;-8.37718534
6.434731;-5.86002151;-0.00013632;-1.45505706;-0.60211669;-7.91733158
6.634731;-5.62040997;-0.00010297;-1.33939892;-0.53215986;-7.49207172
6.834731;-5.39137859;-7.638e-05;-1.23490231;-0.47154945;-7.09790673
7.034731;-5.17257344;-5.634e-05;-1.14029397;-0.4188677;-6.73179145
7.234731;-4.96359409;-4.17e-05;-1.05447924;-0.3729394;-6.39105443
7.434731;-4.76404972;-3.112e-05;-0.97650131;-0.33278501;-6.07336717
7.634731;-4.57354421;-2.343e-05;-0.90551978;-0.2975846;-5.77667202
7.834731;-4.39165995;-1.775e-05;-0.84080225;-0.26664845;-5.4991284
8.034731;-4.21802838;-1.346e-05;-0.78169634;-0.23939415;-5.23913233
