distance,e_pair,e_lj
1.634731,0.278313,2.447272
1.734731,-7.495600,-8.705734
1.834731,-12.602567,-14.772989
1.934731,-15.760788,-17.710787
2.034731,-17.507068,-18.756910
2.134731,-18.243025,-18.688777
2.234731,-18.269659,-17.990892
2.334731,-17.812926,-16.962370
2.434731,-17.041688,-15.785495
2.534731,-16.080900,-14.569235
2.634731,-15.021334,-13.376771
2.834731,-12.843087,-12.242878
3.034731,-10.809162,-10.209540
3.234731,-9.037228,-8.505338
3.434731,-7.548532,-7.101178
3.634731,-6.319077,-5.950886
3.834731,-5.309282,-5.008774
4.034731,-4.479174,-4.235190
4.234731,-3.794327,-3.597482
4.434731,-3.226988,-3.069381
4.634731,-2.755199,-2.629953
4.834731,-2.361378,-2.262555
5.034731,-2.031354,-1.953945
5.234731,-1.753552,-1.693550
5.434731,-1.518616,-1.472893
5.634731,-1.318971,-1.285148
5.834731,-1.148553,-1.124787
6.034731,-1.002514,-0.987313
6.234731,-0.876957,-0.869049
6.434731,-0.768688,-0.766974
6.634731,-0.675107,-0.678596
6.834731,-0.594048,-0.601848
7.034731,-0.523689,-0.535011
7.234731,-0.462479,-0.476646
7.434731,-0.409124,-0.425547
7.634731,-0.362521,-0.380699
7.834731,-0.321713,-0.341243
8.034731,-0.285917,-0.306453
