distance;e_mult_2;e_mult_2q;e_chelpg_hf;e_chelpg_mp2;e_chelpg_dft
1.634731;-17.762366654384444;-17.905891277696206;-18.90725736539986;-18.885125290894468;-18.700966392039366
1.834731;-16.081401885180252;-16.195592718955652;-16.661759444387588;-16.64170659334233;-16.491718883837063
2.034731;-14.969193616904422;-15.057866227660876;-15.266974750706725;-15.248141808115648;-15.114178506410461
2.234731;-14.14286251744757;-14.209642562218152;-14.297003098875129;-14.279081151694271;-14.152977035611498
2.434731;-13.467249606351448;-13.515461035342975;-13.548620396916577;-13.53148534360698;-13.409523589335143
2.634731;-12.875495529913698;-12.908120938673989;-12.92107051796922;-12.904659963353955;-12.785202280032552
2.834731;-12.333799697041053;-12.353474736057871;-12.363068165741762;-12.347340465941857;-12.22975171080322
3.034731;-11.824910999377114;-11.833936672468855;-11.84810792184671;-11.83302912042942;-11.717163972648898
3.234731;-11.340042630878918;-11.340407385960864;-11.362418696000853;-11.347958672920406;-11.233906107962175
3.434731;-10.874776466620384;-10.868183375334361;-10.898871555849825;-10.88500299535518;-10.772955009241048
3.634731;-10.426939575250138;-10.414835612149217;-10.453816960880646;-10.44051503100978;-10.330697892134902
3.834731;-9.995488486971515;-9.979093951475356;-10.025414580206277;-10.012656697802907;-9.905294840387981
4.034731;-9.579920852075068;-9.560257672106815;-9.612743502980216;-9.600509048717896;-9.495806535171292
4.234731;-9.17996742824819;-9.157885575987562;-9.215327843638441;-9.203597835872975;-9.101729512316957
4.434731;-8.795434311600134;-8.771635911475917;-8.832885965785396;-8.821642730434064;-8.722750828497457
4.634731;-8.426125801025275;-8.40118675506402;-8.465200763050536;-8.454427630581684;-8.358621457226223
4.834731;-8.07181026245396;-8.046199384641435;-8.11205548388023;-8.10173653162263;-8.009093899857632
5.034731;-7.732208538712707;-7.706304298153296;-7.773204823250931;-7.76332467007244;-7.673894279579648
5.234731;-7.406993779851117;-7.38109881787004;-7.448364701563485;-7.438908354310048;-7.352712645725335
5.434731;-7.095796669845869;-7.070150290934076;-7.137211645972176;-7.128164392568054;-7.045202582868303
5.634731;-6.798212825227457;-6.773001675212566;-6.839386812890818;-6.830734154853031;-6.750985272187883
5.834731;-6.513810679034645;-6.489177823109119;-6.554501966655544;-6.546229583175148;-6.469655388777633
6.034731;-6.242139006229524;-6.2181916096748795;-6.282145987703189;-6.274239723778111;-6.2007874533142155
6.234731;-5.982733705317137;-5.959549504680018;-6.021891178794527;-6.01433705072773;-5.943941937092055
6.434731;-5.735123696978023;-5.712756431715261;-5.773299020343035;-5.766083232959882;-5.698670792526222
6.634731;-5.498835929036246;-5.477319885042842;-5.535925234476878;-5.529034205489348;-5.464522283403454
6.834731;-5.273399540794238;-5.252753338929663;-5.309324129084755;-5.302744517035973;-5.24104509628962
7.034731;-5.058349268017537;-5.038579013468501;-5.093052250694611;-5.08677098380452;-5.0277917688492755
7.234731;-4.853228178993362;-4.8343300714545885;-4.886671402603122;-4.880675706586333;-4.824321496013576
7.434731;-4.6575898312210455;-4.639552321620192;-4.689751095674362;-4.684028519212872;-4.6302023841667355
7.634731;-4.470999932476988;-4.453805499351907;-4.501870501227132;-4.496408938266427;-4.445013224223517
7.834731;-4.2930375820212925;-4.276664189622775;-4.322619972707459;-4.3174076811182;-4.268344850801
8.034731;-4.123296159095198;-4.1077184497281385;-4.151602197799047;-4.146627814226734;-4.09980114897119
