distance;e_elst;e_exch;e_ind;e_disp;e_tot;e_chelpg_hf;e_pol;e_pol_rahul;e_pair;e_int
1.634731;-51.76990772;147.88369861;-43.20471101;-55.36057747;-2.45149759;-18.90725736539986;-15.597174488010031;-20.642341911833938;32.052934263409895;16.455759775399862
1.834731;-34.57899297;81.04082992;-32.23076958;-41.42826554;-27.19719818;-16.661759444387588;-13.479804098882513;-21.342823725690796;2.9443653632700997;-10.535438735612413
1.934731;-28.95919146;59.62734743;-27.88129787;-36.00274027;-33.21588218;-15.89203659482501;-12.497735918358385;-20.7370269769051;-4.826109666816608;-17.323845585174993
2.034731;-24.72663381;43.70239908;-24.25121065;-31.38382522;-36.65927059;-15.266974750706725;-11.586109316720462;-19.851492211125752;-9.806186522572814;-21.392295839293276
2.134731;-21.54298659;31.9113281;-21.2447919;-27.43999426;-38.31644465;-14.744922989184163;-10.747460091835174;-18.829057761750377;-12.824061568980666;-23.57152166081584
2.234731;-19.14359858;23.21820076;-18.75851677;-24.06216599;-38.74608057;-14.297003098875129;-9.979826119798831;-17.7569488538535;-14.469251351326035;-24.449077471124866
2.334731;-17.32527667;16.83550687;-16.69634154;-21.16018598;-38.34629732;-13.902994552581225;-9.278963531456057;-16.687523508309592;-15.164339235962714;-24.44330276741877
2.434731;-15.9344368;12.16781838;-14.97560953;-18.65958422;-37.40181218;-13.548620396916577;-8.63963049277504;-15.651225994191632;-15.213561290308384;-23.853191783083425
2.534731;-14.85688854;8.76734713;-13.52816459;-16.49871458;-36.11642058;-13.223730780082239;-8.056316749146703;-14.664748574093608;-14.836373050771062;-22.892689799917765
2.634731;-14.00865809;6.29896959;-12.29925643;-14.62636031;-34.63530524;-12.92107051796922;-7.523643466744397;-13.736207394234032;-14.190591255286385;-21.71423472203078
2.734731;-13.32858649;4.51320955;-11.2455927;-12.99976981;-33.06073945;-12.635432301874507;-7.03656788274106;-12.868437661898898;-13.38873926538443;-20.42530714812549
2.834731;-12.77237028;3.22527783;-10.33332984;-11.58311149;-31.46353378;-12.363068165741762;-6.5904737726629214;-12.06109407360978;-12.509991841595316;-19.100465614258237
2.934731;-12.30801614;2.29899801;-9.53607597;-10.34623205;-29.89132615;-12.10127623358146;-6.181196594386506;-11.311987343726319;-11.608853322032033;-17.79004991641854
3.034731;-11.91230408;1.6345171;-8.83326285;-9.26368031;-28.37473015;-11.84810792184671;-5.8050126980385786;-10.61793010997743;-10.721609530114716;-16.526622228153293
3.234731;-11.26350326;0.81938756;-7.65004723;-7.47865414;-25.57281708;-11.362418696000853;-5.1390514215471725;-9.380200787970562;-9.071346962451974;-14.210398383999147
3.434731;-10.73605447;0.40551364;-6.69128407;-6.09177429;-23.11359919;-10.898871555849825;-4.5703521646286305;-8.318053817633833;-7.644375469521544;-12.214727634150174
3.634731;-10.27851078;0.19752707;-5.89762566;-5.00412177;-20.98273113;-10.453816960880646;-4.081444492078161;-7.4038572585496505;-6.447469677041195;-10.528914169119355
3.834731;-9.86087861;0.09440336;-5.2295717;-4.14330052;-19.13934747;-10.025414580206277;-3.6585481550518226;-6.61381758716785;-5.455384734741901;-9.113932889793723
4.034731;-9.46645982;0.04417914;-4.66000742;-3.45592866;-17.53821675;-9.612743502980216;-3.290711849037547;-5.928064815758813;-4.6347613979822375;-7.925473247019784
4.234731;-9.08709865;0.02024601;-4.16968274;-2.90235208;-16.13888745;-9.215327843638441;-2.9691546389881873;-5.330209132374468;-3.95440496737337;-6.923559606361557
4.434731;-8.71975566;0.00909446;-3.74441905;-2.45289021;-14.90797045;-8.832885965785396;-2.686770780111896;-4.806775734747122;-3.3883137041027087;-6.075084484214605
4.634731;-8.36402035;0.00398501;-3.37337732;-2.08514911;-13.81856177;-8.465200763050536;-2.437758634276865;-4.346670696483577;-2.9156023726725997;-5.353361006949465
4.834731;-8.02027738;0.00165317;-3.04800788;-1.78209307;-12.84872516;-8.11205548388023;-2.217341534705557;-3.9407250971461356;-2.519328141414214;-4.736669676119771
5.034731;-7.68908241;0.00057799;-2.76140933;-1.53065363;-11.98056738;-7.773204823250931;-2.021556239264965;-3.581322832284018;-2.185806317484104;-4.207362556749069
5.234731;-7.37065156;7.79e-05;-2.50793584;-1.32071873;-11.19922823;-7.448364701563485;-1.8470911131620313;-3.2621027767422155;-1.9037724152744826;-3.750863528436514
5.434731;-7.06496505;-0.00014653;-2.28295048;-1.14440422;-10.49246628;-7.137211645972176;-1.691161115297088;-2.9777223315431525;-1.6640935187307364;-3.3552546340278244
5.634731;-6.77183075;-0.00023057;-2.08258355;-0.99551329;-9.85015816;-6.839386812890818;-1.5514102536743106;-2.7236699588345656;-1.4593610934348709;-3.0107713471091815
5.834731;-6.49096588;-0.00024139;-1.90360779;-0.86914009;-9.26395514;-6.554501966655544;-1.425834742770808;-2.4961162079979116;-1.283618430573648;-2.709453173344456
6.034731;-6.22211528;-0.00021645;-1.74330756;-0.76137296;-8.72701225;-6.282145987703189;-1.3127219213324899;-2.2917948059284066;-1.1321443409643204;-2.4448662622968103
6.234731;-5.96494771;-0.00017795;-1.59937827;-0.66907108;-8.23357502;-6.021891178794527;-1.210601289181424;-2.107907217620282;-1.0010825520240492;-2.211683841205473
6.434731;-5.71915444;-0.00013847;-1.46984672;-0.58969538;-7.778835;-5.773299020343035;-1.118204952896963;-1.9420455783835713;-0.8873310267600014;-2.0055359796569645
6.634731;-5.48438239;-0.00010411;-1.35302578;-0.52117964;-7.35869191;-5.535925234476878;-1.0344354427960119;-1.7921300718371436;-0.7883312327271106;-1.8227666755231224
6.834731;-5.2602568;-7.686e-05;-1.24744963;-0.46183176;-6.96961504;-5.309324129084755;-0.9583393539783637;-1.656357730182947;-0.7019515569368816;-1.6602909109152453
7.034731;-5.04637718;-5.644e-05;-1.15184453;-0.41025693;-6.60853508;-5.093052250694611;-0.8890856252860563;-1.5331603214304206;-0.626397204019333;-1.5154828293053892
7.234731;-4.84232556;-4.161e-05;-1.06511338;-0.36530155;-6.27278209;-4.886671402603122;-0.8259475386134971;-1.4211695115795004;-0.5601631487833805;-1.3861106873968776
7.434731;-4.64765913;-3.096e-05;-0.98629106;-0.32600278;-5.95998393;-4.689751095674362;-0.7682877227628099;-1.3191878880928365;-0.5019451115628281;-1.270232834325638
7.634731;-4.46196604;-2.327e-05;-0.91453402;-0.29155554;-5.66807886;-4.501870501227132;-0.7155455990264653;-1.2261647350914564;-0.45066275974640224;-1.1662083587728675
7.834731;-4.2848185;-1.761e-05;-0.84910056;-0.2612831;-5.39521976;-4.322619972707459;-0.6672268227214485;-1.1411756839206915;-0.4053729645710923;-1.0725997872925408
8.034731;-4.11581937;-1.335e-05;-0.78934109;-0.23461424;-5.13978805;-4.151602197799047;-0.6228943651914189;-1.063405542535983;-0.36529148700953407;-0.988185852200953
