distance;e_pol;e_pol_damp
1.18436;-2.6357574032337063;48.70825244597911
1.38436;-26.152463446657688;-55.771357844454506
1.58436;-29.771866517442866;-70.34361767904568
1.78436;-27.52853252115618;-62.48940772108008
1.98436;-23.969306755591564;-51.467337391517276
2.18436;-20.513035459537218;-41.96860821173956
2.38436;-17.53086534685523;-34.5810819309532
2.58436;-15.053816830350014;-28.93530835137469
2.78436;-13.016044726278572;-24.572087668544004
2.98436;-11.33616618155254;-21.131915629143666
3.18436;-9.941731060339926;-18.363007989616715
3.38436;-8.774243011920221;-16.093440781247825
3.58436;-7.788096563309895;-14.204765887880702
3.78436;-6.948087199679179;-12.613438526540913
3.98436;-6.2269942376215575;-11.258863700832793
4.18436;-5.603619411196702;-10.095888687745955
4.38436;-5.061296129957994;-9.090059773908512
4.58436;-4.5867847338132455;-8.214559131920835
4.78436;-4.169459460850805;-7.448167752035234
4.98436;-3.8007086885271026;-6.773867825408046
5.18436;-3.4734893154395468;-6.177855210915092
5.38436;-3.1819924938265163;-5.648823358445904
5.58436;-2.9213902421247204;-5.177432586302486
5.78436;-2.6876413123873997;-4.755909528517479
5.98436;-2.4773409099046972;-4.377740240247166
6.18436;-2.287603212472464;-4.0374320752691375
6.38436;-2.115968682849534;-3.7303269229707685
6.58436;-1.9603303140761386;-3.45245334597785
6.78436;-1.8188744725516028;-3.2004085356710474
6.98436;-1.690033098562017;-2.9712633598522444
7.18436;-1.5724448180290864;-2.76248545629243
