distance;e_elst;e_exch;e_ind;e_disp;e_tot
1.18436;-1165.38985754;2563.27669802;-527.65929675;-159.58542942;710.64211431
1.38436;-668.37104019;1491.06059747;-275.658568;-113.13595409;433.89503518
1.58436;-365.68939526;838.69121418;-136.66750928;-79.38322341;256.95108622
1.78436;-192.59917575;461.08911978;-77.30007062;-55.98250614;135.20736727
1.98436;-96.86812545;249.14476384;-51.02481666;-40.03265415;61.21916758
2.18436;-44.99308162;132.68155338;-37.55551876;-29.12500524;21.00794776
2.38436;-17.26965289;69.73598521;-29.5713825;-21.55244601;1.34250382
2.58436;-2.65765632;36.19364847;-24.27732564;-16.20240322;-6.94373671
2.78436;4.88684913;18.56208109;-20.48850934;-12.35117404;-9.39075317
2.98436;8.65533531;9.42137355;-17.62471368;-9.53424685;-9.08225166
3.18436;10.43980986;4.73997929;-15.36058628;-7.44053272;-7.62132985
3.38436;11.20310901;2.36363096;-13.50489118;-5.86280067;-5.80095189
3.58436;11.44980331;1.16526379;-11.94549616;-4.66078879;-3.99121786
3.78436;11.43650758;0.56557398;-10.61461989;-3.74075013;-2.35328845
3.98436;11.29415819;0.26905816;-9.46914142;-3.02399715;-0.92992222
4.18436;11.0847955;0.12511541;-8.47663125;-2.46477906;0.26850059
4.38436;10.83994715;0.0568117;-7.61245205;-2.02529231;1.25901449
4.58436;10.57544001;0.02516865;-6.8567037;-1.677295;2.06660995
4.78436;10.29969399;0.01083694;-6.19307956;-1.39961161;2.71783977
4.98436;10.01779369;0.00447824;-5.60812367;-1.17630988;3.23783839
5.18436;9.73329641;0.00171754;-5.09066409;-0.99535199;3.64899786
5.38436;9.44895461;0.00055385;-4.63139487;-0.84759634;3.97051725
5.58436;9.16694261;8.591e-05;-4.22249964;-0.72606038;4.2184685
5.78436;8.88890882;-8.774e-05;-3.85740539;-0.625378;4.40603769
5.98436;8.61601895;-0.00014261;-3.53052933;-0.54139901;4.543948
6.18436;8.34903591;-0.00015227;-3.23712261;-0.47089338;4.64086765
6.38436;8.08839024;-0.00014527;-2.97313149;-0.41133169;4.7037818
6.58436;7.83431595;-0.00013156;-2.73507257;-0.360721;4.73839081
6.78436;7.58687839;-0.00011448;-2.51994833;-0.31748145;4.74933413
6.98436;7.33355151;-8.304e-05;-2.32518944;-0.2803368;4.72794222
7.18436;7.10113098;-6.037e-05;-2.14845969;-0.24831002;4.70430091
