distance;e_elst;e_exch;e_ind;e_disp;e_tot
1.18436;-1165.38985754;2563.27669802;618.44779038;-35.8374416;1980.49718926
1.38436;-668.37104019;1491.06059747;178.9043506;-65.48497519;936.10893269
1.58436;-365.68939526;838.69121418;21.0530618;-61.82356666;432.23131406
1.78436;-192.59917575;461.08911978;-27.89106854;-49.72616309;190.87271239
1.98436;-96.86812545;249.14476384;-36.72973831;-37.88004064;77.66685944
2.18436;-44.99308162;132.68155338;-33.6716712;-28.41156767;25.6052329
2.38436;-17.26965289;69.73598521;-28.57074087;-21.32527589;2.57031556
2.58436;-2.65765632;36.19364847;-24.0327984;-16.13328219;-6.63008844
2.78436;4.88684913;18.56208109;-20.43237876;-12.33130633;-9.31475487
2.98436;8.65533531;9.42137355;-17.61282797;-9.528954;-9.06507311
3.18436;10.43980986;4.73997929;-15.35832989;-7.43926524;-7.61780598
3.38436;11.20310901;2.36363096;-13.50452785;-5.86254353;-5.80033142
3.58436;11.44980331;1.16526379;-11.94545487;-4.66075229;-3.99114007
3.78436;11.43650758;0.56557398;-10.614621;-3.74075133;-2.35329078
3.98436;11.29415819;0.26905816;-9.46914453;-3.02400108;-0.92992926
4.18436;11.0847955;0.12511541;-8.47663291;-2.46478137;0.26849662
4.38436;10.83994715;0.0568117;-7.61245283;-2.02529341;1.25901261
4.58436;10.57544001;0.02516865;-6.85670407;-1.67729552;2.06660906
4.78436;10.29969399;0.01083694;-6.19307975;-1.39961185;2.71783933
4.98436;10.01779369;0.00447824;-5.60812367;-1.17630988;3.23783839
5.18436;9.73329641;0.00171754;-5.09066409;-0.99535199;3.64899786
5.38436;9.44895461;0.00055385;-4.63139487;-0.84759634;3.97051725
5.58436;9.16694261;8.591e-05;-4.22249964;-0.72606038;4.2184685
5.78436;8.88890882;-8.774e-05;-3.85740539;-0.625378;4.40603769
5.98436;8.61601895;-0.00014261;-3.53052933;-0.54139901;4.543948
6.18436;8.34903591;-0.00015227;-3.23712261;-0.47089338;4.64086765
6.38436;8.08839024;-0.00014527;-2.97313149;-0.41133169;4.7037818
6.58436;7.83431595;-0.00013156;-2.73507257;-0.360721;4.73839081
6.78436;7.58687839;-0.00011448;-2.51994833;-0.31748145;4.74933413
6.98436;7.33355151;-8.304e-05;-2.32518944;-0.2803368;4.72794222
7.18436;7.10113098;-6.037e-05;-2.14845969;-0.24831002;4.70430091
