distance;e_elst;e_exch;e_ind;e_disp;e_tot;e_chelpg_hf;e_pol;e_pol_rahul;e_pair;e_int
1.18436;-1165.38985754;2563.27669802;618.44779038;-35.8374416;1980.49718926;65.25877546036018;-2.6357574032337063;48.70825244597911;1917.8741712028736;1915.2384137996398
1.38436;-668.37104019;1491.06059747;178.9043506;-65.48497519;936.10893269;40.44613957775558;-26.152463446657688;-55.771357844454506;921.815256558902;895.6627931122443
1.58436;-365.68939526;838.69121418;21.0530618;-61.82356666;432.23131406;28.204208519953436;-29.771866517442866;-70.34361767904568;433.7989720574894;404.02710554004653
1.78436;-192.59917575;461.08911978;-27.89106854;-49.72616309;190.87271239;21.86222427667012;-27.52853252115618;-62.48940772108008;196.53902063448606;169.01048811332987
1.88436;-137.54927795;339.5978317;-34.9503625;-43.55658122;123.54161002;19.88876815929165;-25.78619220438768;-56.918737316926;129.43903406509602;103.65284186070835
1.98436;-96.86812545;249.14476384;-36.72973831;-37.88004064;77.66685944;18.41365100716011;-23.969306755591564;-51.467337391517276;83.22251518843144;59.253208432839884
2.08436;-66.93693314;182.12537963;-35.80720661;-32.82599561;46.55524426;17.295609291582426;-22.19231680099562;-46.44921846790314;51.4519517694132;29.259634968417576
2.18436;-44.99308162;132.68155338;-33.6716712;-28.41156767;25.6052329;16.43505219835221;-20.513035459537218;-41.96860821173956;29.68321616118501;9.17018070164779
2.28436;-28.95491276;96.34495095;-31.12600482;-24.59848153;11.66555185;15.761158935385252;-18.95683360713815;-38.02714715794311;14.861226521752899;-4.095607085385252
2.38436;-17.26965289;69.73598521;-28.57074087;-21.32527589;2.57031556;15.223189715202608;-17.53086534685523;-34.5810819309532;4.877991191652622;-12.652874155202607
2.48436;-8.78765364;50.31775139;-26.18530755;-18.52813909;-3.18334888;14.784560269651651;-16.232423609012894;-31.57080312612686;-1.7354855406387557;-17.96790914965165
2.58436;-2.65765632;36.19364847;-24.0327984;-16.13328219;-6.63008844;14.418752671762473;-15.053816830350014;-28.93530835137469;-5.995024281412457;-21.04884111176247
2.68436;1.74629837;25.95628719;-22.12111875;-14.08532809;-8.50386129;14.106462277061034;-13.98517792711878;-26.61862529848408;-8.625145639942254;-22.610323567061034
2.78436;4.88684913;18.56208109;-20.43237876;-12.33130633;-9.31475487;13.83358728014016;-13.016044726278572;-24.572087668544004;-10.132297423861587;-23.14834215014016
2.88436;7.10576139;13.23984838;-18.93920646;-10.82546094;-9.41905763;13.589799507178043;-12.136213478508637;-22.754584958034073;-10.872643658669404;-23.00885713717804
2.98436;8.65533531;9.42137355;-17.61282797;-9.528954;-9.06507311;13.367520566217554;-11.33616618155254;-21.131915629143666;-11.096427494665013;-22.432593676217554
3.18436;10.43980986;4.73997929;-15.35832989;-7.43926524;-7.61780598;12.966697429629669;-9.941731060339926;-18.363007989616715;-10.642772349289743;-20.58450340962967
3.38436;11.20310901;2.36363096;-13.50452785;-5.86254353;-5.80033142;12.602058317154034;-8.774243011920221;-16.093440781247825;-9.628146725233814;-18.402389737154035
3.58436;11.44980331;1.16526379;-11.94545487;-4.66075229;-3.99114007;12.257966409330312;-7.788096563309895;-14.204765887880702;-8.461009916020416;-16.24910647933031
3.78436;11.43650758;0.56557398;-10.614621;-3.74075133;-2.35329078;11.926100957585863;-6.948087199679179;-12.613438526540913;-7.331304537906684;-14.279391737585863
3.98436;11.29415819;0.26905816;-9.46914453;-3.02400108;-0.92992926;11.602141736825242;-6.2269942376215575;-11.258863700832793;-6.3050767592036845;-12.532070996825242
4.18436;11.0847955;0.12511541;-8.47663291;-2.46478137;0.26849662;11.283955103909205;-5.603619411196702;-10.095888687745955;-5.411839072712503;-11.015458483909205
4.38436;10.83994715;0.0568117;-7.61245283;-2.02529341;1.25901261;10.970596302350831;-5.061296129957994;-9.090059773908512;-4.650287562392838;-9.711583692350832
4.58436;10.57544001;0.02516865;-6.85670407;-1.67729552;2.06660906;10.661758661460016;-4.5867847338132455;-8.214559131920835;-4.00836486764677;-8.595149601460015
4.78436;10.29969399;0.01083694;-6.19307975;-1.39961185;2.71783933;10.357468744362976;-4.169459460850805;-7.448167752035234;-3.47016995351217;-7.639629414362975
4.98436;10.01779369;0.00447824;-5.60812367;-1.17630988;3.23783839;10.057917411727646;-3.8007086885271026;-6.773867825408046;-3.0193703332005426;-6.820079021727645
5.18436;9.73329641;0.00171754;-5.09066409;-0.99535199;3.64899786;9.763366276083003;-3.4734893154395468;-6.177855210915092;-2.6408791006434567;-6.114368416083003
5.38436;9.44895461;0.00055385;-4.63139487;-0.84759634;3.97051725;9.474096139793314;-3.1819924938265163;-5.648823358445904;-2.3215863959667975;-5.503578889793314
5.58436;9.16694261;8.591e-05;-4.22249964;-0.72606038;4.2184685;9.190378922140207;-2.9213902421247204;-5.177432586302486;-2.050520180015486;-4.971910422140207
5.78436;8.88890882;-8.774e-05;-3.85740539;-0.625378;4.40603769;8.912462803823558;-2.6876413123873997;-4.755909528517479;-1.818783801436159;-4.506425113823559
5.98436;8.61601895;-0.00014261;-3.53052933;-0.54139901;4.543948;8.640564860974349;-2.4773409099046972;-4.377740240247166;-1.6192759510696515;-4.096616860974349
6.18436;8.34903591;-0.00015227;-3.23712261;-0.47089338;4.64086765;8.374867976542678;-2.287603212472464;-4.0374320752691375;-1.4463971140702143;-3.734000326542678
6.38436;8.08839024;-0.00014527;-2.97313149;-0.41133169;4.7037818;8.115520213092104;-2.115968682849534;-3.7303269229707685;-1.2957697302425704;-3.4117384130921042
6.58436;7.83431595;-0.00013156;-2.73507257;-0.360721;4.73839081;7.862635608407678;-1.9603303140761386;-3.45245334597785;-1.1639144843315392;-3.1242447984076778
6.78436;7.58687839;-0.00011448;-2.51994833;-0.31748145;4.74933413;7.616295790342207;-1.8188744725516028;-3.2004085356710474;-1.0480871877906037;-2.8669616603422066
6.98436;7.33355151;-8.304e-05;-2.32518944;-0.2803368;4.72794222;7.376552052678512;-1.690033098562017;-2.9712633598522444;-0.9585767341164952;-2.6486098326785124
7.18436;7.10113098;-6.037e-05;-2.14845969;-0.24831002;4.70430091;7.143427673847807;-1.5724448180290864;-2.76248545629243;-0.8666819458187207;-2.439126763847807
