distance,e_pair,e_lj
2.384360,4.877991,7.193186
2.484360,-1.735486,-2.031358
2.584360,-5.995024,-7.064276
2.684360,-8.625146,-9.648569
2.784360,-10.132297,-10.795115
2.884360,-10.872644,-11.100243
2.984360,-11.096427,-10.920439
3.184360,-10.642772,-9.881574
3.384360,-9.628147,-8.568397
3.584360,-8.461010,-7.300245
3.784360,-7.331305,-6.179068
3.984360,-6.305077,-5.223670
4.184360,-5.411839,-4.422580
4.384360,-4.650288,-3.755165
4.584360,-4.008365,-3.199894
4.784360,-3.470170,-2.737326
4.984360,-3.019370,-2.350919
5.184360,-2.640879,-2.026986
5.384360,-2.321586,-1.754356
5.584360,-2.050520,-1.523967
5.784360,-1.818784,-1.328473
5.984360,-1.619276,-1.161920
6.184360,-1.446397,-1.019468
6.384360,-1.295770,-0.897170
6.584360,-1.163914,-0.791797
6.784360,-1.048087,-0.700691
6.984360,-0.958577,-0.621664
7.184360,-0.866682,-0.552899
