distance;e_lj;e_lj_damp
1.728893;410.42064632681775;447.45760715762754
1.928893;180.86374503362228;210.77252081498108
2.128893;73.24106696864526;97.08274894456385
2.328893;23.04226428389881;42.37400321294069
2.528893;0.22724410824298147;16.243118753993812
2.728893;-9.386209857722138;4.1279611418556215
2.928893;-12.684687705023451;-1.1208368599242142
3.128893;-13.056796232711783;-3.0572332117992964
3.328893;-12.179686662819059;-3.4620404484079934
3.528893;-10.846241336526308;-3.195579956804643
3.728893;-9.437697315728602;-2.6853232090065564
3.928893;-8.124789817185606;-2.135362200507707
4.128893;-6.951132781418938;-1.6143878659594773
4.328893;-5.942232899958926;-1.167328236240584
4.528893;-5.090316500516228;-0.8017614718814379
4.728893;-4.377888986619478;-0.5125004135067517
4.928893;-3.7842953976143;-0.2888581706170017
5.128893;-3.2893011243219092;-0.11873808305030842
5.328893;-2.8747790358182557;0.009298413499891467
5.528893;-2.5254167258192393;0.10503330890563678
5.728893;-2.228795944238707;0.17628646095763933
5.928893;-1.9750217019772691;0.22910911136486511
6.128893;-1.756400393878733;0.2679655633351352
6.328893;-1.5669087493512825;0.29615273060982616
6.528893;-1.4018332402419613;0.31607156605946374
6.728893;-1.2574157193450257;0.3295097546169088
6.928893;-1.1306321912549815;0.3378050499437686
7.128893;-1.019018354912614;0.341972740418099
7.328893;-0.9205244010007165;0.3428125270173452
7.528893;-0.8452484964229328;0.3291436365455307
