distance;e_pol;e_pol_damp
1.528893;-35.09809612044749;-75.36805869306953
1.728893;-31.847924319930137;-68.88488515073996
1.928893;-27.71359872150575;-57.62237450286453
2.128893;-23.845644431595684;-47.68732640751428
2.328893;-20.513301862733993;-39.84504079177588
2.528893;-17.716949632288948;-33.73282427803978
2.728893;-15.384989952214452;-28.899160951792215
2.928893;-13.43672448748386;-25.000575332583097
3.128893;-11.800663566130341;-21.800226587042825
3.328893;-10.41808590722296;-19.135732121634025
3.528893;-9.242045426247731;-16.892706805969397
3.728893;-8.235298533509553;-14.987672640231601
3.928893;-7.368271444069643;-13.357699060747542
4.128893;-6.617365725576917;-11.954110641036378
4.328893;-5.963626585614611;-10.738531249332953
4.528893;-5.391719638813032;-9.680274667447822
4.728893;-4.889149877482273;-8.754538450595
4.928893;-4.445664843843887;-7.941102070841185
5.128893;-4.0527963095726705;-7.223359350844272
5.328893;-3.7035059586001244;-6.587583407918272
5.528893;-3.3919094506773844;-6.0223594854022595
5.728893;-3.1130599201956595;-5.518142325392006
5.928893;-2.8627768721462825;-5.066907685488417
6.128893;-2.637510016701605;-4.661875973915473
6.328893;-2.434230195756602;-4.297291675717711
6.528893;-2.2503414691210692;-3.968246275422494
6.728893;-2.0836098405516137;-3.6705353145135478
6.928893;-1.9321051540158598;-3.40054239521461
7.128893;-1.7941534776253503;-3.1551445729560634
7.328893;-1.668297887125541;-2.9316348151436027
7.528893;-1.5532660131976945;-2.7276581461661578
