distance;e_elst;e_exch;e_ind;e_disp;e_tot
1.528893;-686.31699154;1529.10567202;-232.30250076;-124.03880943;486.44737029
1.728893;-366.9908311;844.36681669;-119.06880915;-87.08542321;271.22175322
1.928893;-189.79293327;458.00002728;-71.75184335;-61.63210269;134.82314797
2.128893;-93.73962315;244.87340297;-49.76037485;-44.28676396;57.086641
2.328893;-42.46413339;129.26773442;-37.79145258;-32.38654994;16.62559851
2.528893;-15.42186396;67.41351157;-30.33219037;-24.07316394;-2.41370669
2.728893;-1.36306456;34.74374433;-25.23328971;-18.14441393;-9.99702387
2.928893;5.79118646;17.72077085;-21.51277858;-13.85055277;-11.85137404
3.128893;9.31834765;8.95921764;-18.64702323;-10.69245178;-11.06190971
3.328893;10.96648483;4.49004603;-16.33579778;-8.34327;-9.22253693
3.528893;11.65853571;2.22406149;-14.41059799;-6.56570027;-7.09370106
3.728893;11.86728103;1.0833145;-12.77340861;-5.21167683;-5.0344899
3.928893;11.8311236;0.51624257;-11.36452583;-4.17875129;-3.19591095
4.128893;11.67521395;0.23984466;-10.14643653;-3.37216497;-1.60354289
4.328893;11.45521036;0.10875617;-9.08724054;-2.74354884;-0.26682284
4.528893;11.20043442;0.04835639;-8.16259957;-2.25018734;0.8360039
4.728893;10.92578574;0.02122236;-7.35245158;-1.86013938;1.73441714
4.928893;10.63952921;0.00922472;-6.64006594;-1.54942351;2.45926449
5.128893;10.34696348;0.0039382;-6.01149741;-1.29998299;3.03942128
5.328893;10.05196706;0.00159441;-5.4550547;-1.09817724;3.50032953
5.528893;9.75754243;0.00054909;-4.96093068;-0.93365922;3.86350162
5.728893;9.46593763;8.72e-05;-4.52086765;-0.79853926;4.14661791
5.928893;9.17879049;-0.00010775;-4.12786947;-0.6867653;4.36404797
6.128893;8.89714135;-0.00017976;-3.77599861;-0.59366517;4.52729781
6.328893;8.62163295;-0.00019547;-3.46018393;-0.5156086;4.64564496
6.528893;8.35260879;-0.0001858;-3.17608089;-0.4497568;4.72658531
6.728893;8.09025404;-0.00016501;-2.91995397;-0.393876;4.77625907
6.928893;7.83464502;-0.00013989;-2.68857618;-0.34619734;4.7997316
7.128893;7.58579967;-0.000114;-2.4791569;-0.30531112;4.80121766
7.328893;7.34370638;-8.942e-05;-2.28926234;-0.27008624;4.78426838
7.528893;7.09654865;-5.275e-05;-2.11679436;-0.23962858;4.74007296
