distance;e_elst;e_exch;e_ind;e_disp;e_tot
1.528893;-686.31699154;1529.10567202;149.2519916;-83.47565638;908.5650157
1.728893;-366.9908311;844.36681669;5.46204647;-72.50782768;410.33020438
1.928893;-189.79293327;458.00002728;-34.48861705;-56.56781883;177.15065813
2.128893;-93.73962315;244.87340297;-39.37050777;-42.59157294;69.17169911
2.328893;-42.46413339;129.26773442;-35.06458913;-31.841982;19.89702989
2.528893;-15.42186396;67.41351157;-29.65835772;-23.90655207;-1.57326218
2.728893;-1.36306456;34.74374433;-25.07820912;-18.09657104;-9.7941004
2.928893;5.79118646;17.72077085;-21.48028625;-13.83797924;-11.80630818
3.128893;9.31834765;8.95921764;-18.64109694;-10.68956646;-11.05309811
3.328893;10.96648483;4.49004603;-16.33496016;-8.34275636;-9.22118567
3.528893;11.65853571;2.22406149;-14.4105541;-6.56566645;-7.09362335
3.728893;11.86728103;1.0833145;-12.77343675;-5.21170385;-5.03454506
3.928893;11.8311236;0.51624257;-11.36454237;-4.17877065;-3.19594686
4.128893;11.67521395;0.23984466;-10.1464434;-3.37217433;-1.60355912
4.328893;11.45521036;0.10875617;-9.0872433;-2.74355294;-0.2668297
4.528893;11.20043442;0.04835639;-8.16260075;-2.2501891;0.83600096
4.728893;10.92578574;0.02122236;-7.35245212;-1.86014015;1.73441582
4.928893;10.63952921;0.00922472;-6.64006594;-1.54942351;2.45926449
5.128893;10.34696348;0.0039382;-6.01149741;-1.29998299;3.03942128
5.328893;10.05196706;0.00159441;-5.4550547;-1.09817724;3.50032953
5.528893;9.75754243;0.00054909;-4.96093068;-0.93365922;3.86350162
5.728893;9.46593763;8.72e-05;-4.52086765;-0.79853926;4.14661791
5.928893;9.17879049;-0.00010775;-4.12786947;-0.6867653;4.36404797
6.128893;8.89714135;-0.00017976;-3.77599861;-0.59366517;4.52729781
6.328893;8.62163295;-0.00019547;-3.46018393;-0.5156086;4.64564496
6.528893;8.35260879;-0.0001858;-3.17608089;-0.4497568;4.72658531
6.728893;8.09025404;-0.00016501;-2.91995397;-0.393876;4.77625907
6.928893;7.83464502;-0.00013989;-2.68857618;-0.34619734;4.7997316
7.128893;7.58579967;-0.000114;-2.4791569;-0.30531112;4.80121766
7.328893;7.34370638;-8.942e-05;-2.28926234;-0.27008624;4.78426838
7.528893;7.09654865;-5.275e-05;-2.11679436;-0.23962858;4.74007296
