distance;e_elst;e_exch;e_ind;e_disp;e_tot;e_chelpg_hf;e_pol;e_pol_rahul;e_pair;e_int
1.528893;-686.31699154;1529.10567202;149.2519916;-83.47565638;908.5650157;46.629380894436466;-35.09809612044749;-75.36805869306953;897.033730926011;861.9356348055635
1.728893;-366.9908311;844.36681669;5.46204647;-72.50782768;410.33020438;31.757482373112413;-31.847924319930137;-68.88488515073996;410.42064632681775;378.5727220068876
1.928893;-189.79293327;458.00002728;-34.48861705;-56.56781883;177.15065813;24.000511817883485;-27.71359872150575;-57.62237450286453;180.86374503362228;153.15014631211653
2.128893;-93.73962315;244.87340297;-39.37050777;-42.59157294;69.17169911;19.776276572950437;-23.845644431595684;-47.68732640751428;73.24106696864526;49.39542253704957
2.228893;-64.07049225;178.19044453;-37.62834413;-36.82481248;39.66679568;18.412152182003684;-22.109520994525987;-43.51989724282405;43.364164492522306;21.254643497996316
2.328893;-42.46413339;129.26773442;-35.06458913;-31.841982;19.89702989;17.368067468835186;-20.513301862733993;-39.84504079177588;23.042264283898806;2.528962421164813
2.428893;-26.77498269;93.49123927;-32.30864806;-27.56301474;6.84459378;16.55705353247132;-19.05198874472926;-36.60283672579756;9.339528992257943;-9.712459752471318
2.528893;-15.42186396;67.41351157;-29.65835772;-23.90655207;-1.57326218;15.916443344045968;-17.716949632288948;-33.73282427803978;0.22724410824298147;-17.489705524045966
2.628893;-7.23574962;48.46459701;-27.23796763;-20.77447769;-6.78359793;15.400817602065635;-16.498078333706044;-31.18048573382032;-5.686337198359592;-22.184415532065636
2.728893;-1.36306456;34.74374433;-25.07820912;-18.09657104;-9.7941004;14.977099409936592;-15.384989952214452;-28.899160951792215;-9.386209857722138;-24.77119980993659
2.828893;2.82527233;24.84247189;-23.16836808;-15.80422184;-11.3048457;14.621106356669529;-14.367657305228741;-26.849909313380454;-11.558294751440789;-25.92595205666953
2.928893;5.79118646;17.72077085;-21.48028625;-13.83797924;-11.80630818;14.31510401250731;-13.43672448748386;-25.000575332583097;-12.684687705023451;-26.12141219250731
3.028893;7.87313707;12.61326949;-19.98144389;-12.14724232;-11.64227964;14.04605571955114;-12.583636099043987;-23.324655444808936;-13.104699260507152;-25.68833535955114
