distance,e_pair,e_lj
2.528893,0.227244,2.477754
2.628893,-5.686337,-6.270437
2.728893,-9.386210,-10.897353
2.828893,-11.558295,-13.108305
2.928893,-12.684688,-13.905361
3.028893,-13.104699,-13.885019
3.128893,-13.056796,-13.405571
3.228893,-12.714542,-12.683199
3.328893,-12.179687,-11.848198
3.428893,-11.538885,-10.978428
3.528893,-10.846241,-10.119504
3.728893,-9.437697,-8.524790
3.928893,-8.124790,-7.149231
4.128893,-6.951133,-5.996135
4.328893,-5.942233,-5.041158
4.528893,-5.090317,-4.253493
4.728893,-4.377889,-3.603775
4.928893,-3.784295,-3.066597
5.128893,-3.289301,-2.620891
5.328893,-2.874779,-2.249542
5.528893,-2.525417,-1.938771
5.728893,-2.228796,-1.677520
5.928893,-1.975022,-1.456917
6.128893,-1.756400,-1.269825
6.328893,-1.566909,-1.110488
6.528893,-1.401833,-0.974241
6.728893,-1.257416,-0.857292
6.928893,-1.130632,-0.756539
7.128893,-1.019018,-0.669438
7.328893,-0.920524,-0.593890
7.528893,-0.845248,-0.528157
