distance,e_int,e_lj
2.328893,2.528962,18.315306
2.428893,-9.712460,-6.292015
2.528893,-17.489706,-19.323966
2.628893,-22.184416,-25.729284
2.728893,-24.771200,-28.327691
2.828893,-25.925952,-28.754156
2.928893,-26.121412,-27.969014
3.028893,-25.688335,-26.540796
3.128893,-24.857460,-24.806717
3.228893,-23.795418,-22.965627
3.328893,-22.597773,-21.132809
3.428893,-21.345663,-19.372794
3.528893,-20.088287,-17.719259
3.728893,-17.672996,-14.780498
3.928893,-15.493061,-12.328986
4.128893,-13.568499,-10.310520
4.328893,-11.905859,-8.655760
4.528893,-10.482036,-7.298915
4.728893,-9.267039,-6.183478
4.928893,-8.229960,-5.262966
5.128893,-7.342097,-4.499905
5.328893,-6.578285,-3.864350
5.528893,-5.917326,-3.332439
5.728893,-5.341856,-2.885150
5.928893,-4.837799,-2.507281
6.128893,-4.393910,-2.186636
6.328893,-4.001139,-1.913393
6.528893,-3.652175,-1.679600
6.728893,-3.341026,-1.478792
6.928893,-3.062737,-1.305684
7.128893,-2.813172,-1.155938
7.328893,-2.588822,-1.025976
7.528893,-2.398515,-0.912832
