distance;e_pol;e_pol_damp
0.587181;-71.99446667771453;-609.0889825968145
0.787181;-62.81212776740619;-448.13522317704684
0.987181;-52.49257305477097;-301.97406463276985
1.187181;-42.87996030105036;-195.327348421443
1.387181;-34.73694408891133;-126.05849614173373
1.587181;-28.177596771462753;-83.6498746265494
1.787181;-23.023366324099744;-58.17471571891679
1.987181;-19.009868748920134;-42.683681554153445
2.187181;-15.88212014314909;-32.91901559603029
2.387181;-13.427702940261119;-26.443667511252556
2.587181;-11.481351826054151;-21.905255109740782
2.787181;-9.91881176804995;-18.55676108532553
2.987181;-8.64813855553194;-15.978595373483556
3.187181;-7.601636512245354;-13.926879026643268
3.387181;-6.729366321742799;-12.253092857849728
3.587181;-5.99424841454763;-10.861920874158752
3.787181;-5.368492016330208;-9.68896508635277
3.987181;-4.831034764154014;-8.68869584647658
4.187181;-4.365719766232748;-7.827701041359955
4.387181;-3.959998547587663;-7.080730172407898
4.587181;-3.604004808313434;-6.428259045164288
4.787181;-3.289888624413176;-5.854916373345595
4.987181;-3.0113337490141476;-5.348422413076732
5.187181;-2.7632041987778804;-4.898846721664737
5.387181;-2.5412827386646812;-4.498073870008956
5.587181;-2.3420752332489414;-4.139409960453183
5.787181;-2.162662650113772;-3.8172875174899787
5.987181;-2.000587884048138;-3.5270408409264866
6.187181;-1.8537682897293777;-3.2647328389166055
6.387181;-1.7204273935523748;-3.0270200783223604
6.587181;-1.5990410615709052;-2.811046586283604
