distance;e_elst;e_exch;e_ind;e_disp;e_tot
0.587181;-820.48215346;1809.16804679;44.43907783;-128.04911631;905.07585485
0.787181;-599.03320703;1352.11569073;-8.67505996;-103.53961435;640.86780939
0.987181;-409.11703493;950.74340869;-35.09616896;-82.00021004;424.52999476
1.187181;-262.9632216;632.64723066;-43.35246377;-63.6179285;262.71361679
1.387181;-159.74483026;401.27684944;-42.29669047;-48.48454313;150.75078557
1.587181;-91.4681414;244.3159164;-37.66486752;-36.49304477;78.6898627
1.787181;-48.43324265;143.67524153;-32.31237841;-27.31598223;35.61363824
1.987181;-22.2792394;81.99941604;-27.35788363;-20.47675736;11.88553566
2.187181;-6.89309343;45.5645571;-23.1355998;-15.45651131;0.07935256
2.387181;1.84893125;24.71623714;-19.67771404;-11.79599045;-4.9085361
2.587181;6.62281298;13.13353499;-16.89677595;-9.09860671;-6.23903469
2.787181;9.10445692;6.86581786;-14.65761958;-7.09597383;-5.78331863
2.987181;10.30584974;3.54364082;-12.83029982;-5.59030664;-4.5711159
3.187181;10.80742306;1.8067166;-11.31192346;-4.44466631;-3.1424501
3.387181;10.92754745;0.90712865;-10.02962475;-3.56362975;-1.75857841
3.587181;10.84357157;0.44624423;-8.93339491;-2.87956996;-0.52314906
3.787181;10.65827163;0.21393513;-7.98787945;-2.34430806;0.54001924
3.987181;10.42719135;0.09942966;-7.16703712;-1.92289908;1.43668481
4.187181;10.17639702;0.04453649;-6.45083298;-1.58920089;2.18089964
4.387181;9.91694237;0.01906153;-5.8232266;-1.32329944;2.78947787
4.587181;9.65342619;0.00766507;-5.27104167;-1.10996263;3.28008697
4.787181;9.38799469;0.00277747;-4.78339035;-0.93755127;3.66983053
4.987181;9.12204389;0.00079014;-4.3512087;-0.7971733;3.97445204
5.187181;8.85684802;4.474e-05;-3.96692899;-0.68202336;4.20794041
5.387181;8.59366946;-0.00019377;-3.62418828;-0.5868749;4.38241251
5.587181;8.33373305;-0.00023951;-3.31760427;-0.50769456;4.5081947
5.787181;8.07810585;-0.00022098;-3.0426154;-0.44135238;4.59391709
5.987181;7.82760441;-0.00018719;-2.79532677;-0.38540489;4.64668556
6.187181;7.58281685;-0.0001544;-2.57241572;-0.3379331;4.67231364
6.387181;7.34409288;-0.00012625;-2.37102313;-0.29742091;4.67552259
6.587181;7.10008212;-8.919e-05;-2.1887404;-0.26268556;4.64856697
