distance;e_elst;e_exch;e_ind;e_disp;e_tot
0.587181;-820.48215346;1809.16804679;356.68607863;-80.58396965;1264.7880023
0.787181;-599.03320703;1352.11569073;191.17860342;-75.10411993;869.15696719
0.987181;-409.11703493;950.74340869;74.41094623;-66.82603495;549.21128504
1.187181;-262.9632216;632.64723066;8.52641314;-56.26845628;321.94196592
1.387181;-159.74483026;401.27684944;-20.71487838;-45.20657656;175.61056423
1.587181;-91.4681414;244.3159164;-29.65696362;-35.1350508;88.05576058
1.787181;-48.43324265;143.67524153;-29.6246364;-26.791074;38.82628847
1.987181;-22.2792394;81.99941604;-26.53444859;-20.28719419;12.89853387
2.187181;-6.89309343;45.5645571;-22.9053867;-15.39282881;0.37324817
2.387181;1.84893125;24.71623714;-19.61974966;-11.77639253;-4.83097381
2.587181;6.62281298;13.13353499;-16.88408945;-9.09329528;-6.22103677
2.787181;9.10445692;6.86581786;-14.65543079;-7.09482763;-5.77998365
2.987181;10.30584974;3.54364082;-12.83011547;-5.59018493;-4.57080984
3.187181;10.80742306;1.8067166;-11.31198407;-4.44471703;-3.14256143
3.387181;10.92754745;0.90712865;-10.02966624;-3.56367351;-1.75866366
3.587181;10.84357157;0.44624423;-8.93341139;-2.87959129;-0.52318687
3.787181;10.65827163;0.21393513;-7.98788524;-2.34431674;0.54000477
3.987181;10.42719135;0.09942966;-7.16703919;-1.92290238;1.43667944
4.187181;10.17639702;0.04453649;-6.45083381;-1.58920214;2.18089756
4.387181;9.91694237;0.01906153;-5.82322697;-1.32329994;2.789477
4.587181;9.65342619;0.00766507;-5.27104167;-1.10996263;3.28008697
4.787181;9.38799469;0.00277747;-4.78339035;-0.93755127;3.66983053
4.987181;9.12204389;0.00079014;-4.3512087;-0.7971733;3.97445204
5.187181;8.85684802;4.474e-05;-3.96692899;-0.68202336;4.20794041
5.387181;8.59366946;-0.00019377;-3.62418828;-0.5868749;4.38241251
5.587181;8.33373305;-0.00023951;-3.31760427;-0.50769456;4.5081947
5.787181;8.07810585;-0.00022098;-3.0426154;-0.44135238;4.59391709
5.987181;7.82760441;-0.00018719;-2.79532677;-0.38540489;4.64668556
6.187181;7.58281685;-0.0001544;-2.57241572;-0.3379331;4.67231364
6.387181;7.34409288;-0.00012625;-2.37102313;-0.29742091;4.67552259
6.587181;7.10008212;-8.919e-05;-2.1887404;-0.26268556;4.64856697
