distance;e_elst;e_exch;e_ind;e_disp;e_tot;e_chelpg_hf;e_pol;e_pol_rahul;e_pair;e_int
0.587181;-820.48215346;1809.16804679;356.68607863;-80.58396965;1264.7880023;-80.25351580585638;-71.99446667771453;-609.0889825968145;1417.035984783571;1345.0415181058563
0.787181;-599.03320703;1352.11569073;191.17860342;-75.10411993;869.15696719;-52.0722434676731;-62.81212776740619;-448.13522317704684;984.0413384250793;921.2292106576731
0.987181;-409.11703493;950.74340869;74.41094623;-66.82603495;549.21128504;-29.011083205490017;-52.49257305477097;-301.97406463276985;630.714941300261;578.22236824549
1.087181;-330.37702367;780.57164455;35.80349483;-61.72725359;424.27086212;-19.98887355748949;-47.52987155774784;-243.477986786656;491.7896072352373;444.2597356774895
1.187181;-262.9632216;632.64723066;8.52641314;-56.26845628;321.94196592;-12.575008547968098;-42.87996030105036;-195.327348421443;377.3969347690184;334.51697446796805
1.287181;-206.3932214;506.65111233;-9.57571183;-50.69048544;239.99169366;-6.604303447820367;-38.60734347795522;-156.6304545034144;285.2033405857756;246.59599710782038
1.387181;-159.74483026;401.27684944;-20.71487838;-45.20657656;175.61056423;-1.876546638685057;-34.73694408891133;-126.05849614173373;212.22405495759637;177.48711086868505
1.487181;-121.8531071;314.58672974;-26.87155091;-39.98322895;125.87884278;1.8128143307626596;-31.266715255795248;-102.17968737022788;155.33274370503258;124.06602844923734
1.587181;-91.4681414;244.3159164;-29.65696362;-35.1350508;88.05576058;4.654594600825247;-28.177596771462753;-83.6498746265494;111.57876275063751;83.40116597917475
1.687181;-67.3684119;188.10653684;-30.28716976;-30.72873021;59.72222497;6.816900358688816;-25.440880920036822;-69.30237659619253;78.346205531348;52.90532461131119
1.787181;-48.43324265;143.67524153;-29.6246364;-26.791074;38.82628847;8.442134736173744;-23.023366324099744;-58.17471571891679;53.40752005792601;30.38415373382626
1.887181;-33.6809157;108.92355051;-28.24951926;-23.31868306;23.6744325;9.647560195301372;-20.890772958237715;-49.500298546605556;34.91764526293635;14.02687230469863
1.987181;-22.2792394;81.99941604;-26.53444859;-20.28719419;12.89853387;10.527720845287151;-19.009868748920134;-42.683681554153445;21.380681773632983;2.3708130247128487
