distance,e_pair,e_lj
2.187181,4.659295,6.087484
2.287181,-0.190526,-0.845115
2.387181,-3.473865,-4.909006
2.587181,-6.943345,-8.269050
2.787181,-8.003577,-8.648090
2.987181,-7.894185,-7.952738
3.187181,-7.280356,-6.954225
3.387181,-6.503138,-5.952576
3.587181,-5.719566,-5.052721
3.787181,-4.990489,-4.280312
3.987181,-4.336603,-3.630481
4.187181,-3.763247,-3.088225
4.387181,-3.268155,-2.636679
4.587181,-2.844807,-2.260241
4.787181,-2.484804,-1.945518
4.987181,-2.179312,-1.681400
5.187181,-1.919903,-1.458822
5.387181,-1.698993,-1.270438
5.587181,-1.509986,-1.110307
5.787181,-1.347347,-0.973617
5.987181,-1.206557,-0.856464
6.187181,-1.083976,-0.755666
6.387181,-0.976719,-0.668618
6.587181,-0.894082,-0.593183
