distance;e_lj;e_lj_damp
1.733539;7.595246324013008;19.60526682799761
1.933539;-17.01404297977625;-6.960627481295173
2.133539;-26.257397759217433;-17.608589789576595
2.333539;-28.000107345405922;-20.43053439632333
2.533539;-26.337487904486295;-19.63804353603068
2.733539;-23.370447028302337;-17.39545447638028
2.933539;-20.13549717406852;-14.776487469409386
3.133539;-17.105262688336516;-12.277379879982098
3.333539;-14.451032672814293;-10.085577917699974
3.533539;-12.207044186067897;-8.247097419284684
3.733539;-10.341634299389488;-6.739285439728453
3.933539;-8.796074765229868;-5.5105451626007715
4.133539;-7.515950661714847;-4.512241047771591
4.333539;-6.451694724955926;-3.6995673031911815
4.533539;-5.562487206991589;-3.0356740921944096
4.733539;-4.815549131243264;-2.4911225971474815
4.933539;-4.184907982207931;-2.042771201092334
5.133539;-3.649886139802445;-1.6723563418143428
5.333539;-3.1939233149781505;-1.365387355801139
5.533539;-2.8036606456011133;-1.110288192898052
5.733539;-2.4682410900326364;-0.8977442071111184
5.933539;-2.1788284548105183;-0.720258902194006
6.133539;-1.9281522394056028;-0.5717296837478809
6.333539;-1.7102309494187231;-0.44719667465086665
6.533539;-1.5200701663742613;-0.3425619571170371
6.733539;-1.34345949788965;-0.2444041985119676
6.933539;-1.1993936657859263;-0.1724145713438121
