distance;e_mult_2;e_mult_2q;e_chelpg_hf;e_chelpg_mp2;e_chelpg_dft
0.933539;-6.5103380626043945;-6.366677800279934;-1.4681138347307048;-1.2520936109770147;-0.5500517060916532
1.133539;-10.895106935843453;-10.762767317476003;-8.205255124843568;-8.094352687257656;-7.740853709609253
1.333539;-13.033458442353755;-12.913995270695272;-11.567496726958439;-11.50894706551401;-11.329312143561383
1.533539;-13.987373981571183;-13.880052050399737;-13.160221722634576;-13.127889178159938;-13.035041530171224
1.733539;-14.321582282970015;-14.224777017902923;-13.83296510698136;-13.814122441176035;-13.765324505970614
1.933539;-14.329857221566197;-14.241723456956064;-14.024167291554587;-14.012553310367204;-13.986645817817514
2.133539;-14.165287547779469;-14.084063304163973;-13.960516453202585;-13.952983068564546;-13.939299393751252
2.333539;-13.908508134140304;-13.832639816642772;-13.76063407920846;-13.755557108442565;-13.748611725060204
2.533539;-13.60258116374664;-13.530762096663793;-13.487543457351082;-13.484061749042633;-13.48097959106794
2.733539;-13.270866473222995;-13.20203435785939;-13.17528089858059;-13.17292380742754;-13.172170437354604
2.933539;-12.926277734848425;-12.859593840531772;-12.842565685740517;-12.841066000351422;-12.841806182996285
3.133539;-12.576134828965968;-12.510956314167963;-12.499925201694056;-12.499123013896083;-12.500890264488646
3.333539;-12.22473307121448;-12.160584027064425;-12.153456230132445;-12.153248646784995;-12.155772394714726
3.533539;-11.874713124507943;-11.811256969183766;-11.806829940130436;-11.807144479397516;-11.81025876723981
3.733539;-11.52779454100375;-11.464808892180725;-11.462368070268733;-11.463148537558917;-11.466743561476596
3.933539;-11.185169443771164;-11.122523850289493;-11.121623425751185;-11.122822457723565;-11.12681885626908
4.133539;-10.84771416645575;-10.785350720968072;-10.785694346397277;-10.787269545612592;-10.791604835610837
4.333539;-10.516103421193408;-10.454020110398792;-10.455396042434495;-10.457308046920472;-10.461929550230689
4.533539;-10.190872462434971;-10.129109041450006;-10.131354931946143;-10.133566518699862;-10.138427741367874
4.733539;-9.872451690592209;-9.811077843181456;-9.814061652443565;-9.816537381257636;-9.821596208214386
4.933539;-9.56118679170553;-9.500292334282388;-9.503901976232688;-9.506608102969643;-9.511825927680645
5.133539;-9.257351378355269;-9.197038271637156;-9.201175957971412;-9.204080469421491;-9.209421787696408
5.333539;-8.961155790886632;-8.90153173388521;-8.906110823317526;-8.909183514209174;-8.914615733734438
5.533539;-8.672753944316195;-8.613927338835962;-8.618870504818807;-8.622083055781696;-8.627576393343332
5.733539;-8.392249163544678;-8.334325252579943;-8.339563333633874;-8.34288937027197;-8.348416773430584
5.933539;-8.119699456042518;-8.062777455830036;-8.068248652595138;-8.071663777674232;-8.077200842097168
6.133539;-7.855122419221299;-7.799293481755372;-7.804942727180488;-7.808424524386592;-7.813949395948603
6.333539;-7.598499856282532;-7.543845716381717;-7.549624132345415;-7.553152143441251;-7.558645403148498
6.533539;-7.349782118213875;-7.296374296315616;-7.302238695691662;-7.305794374510958;-7.311238908440255
6.733539;-7.108892167790222;-7.05679161615933;-7.0627040327552;-7.066270680085999;-7.071651538135961
6.933539;-6.875729356325034;-6.824986451978543;-6.830913692241146;-6.834476375701828;-6.839780623270514
