distance;e_pol;e_pol_damp
0.933539;-23.256228249778133;-71.60450896318426
1.133539;-20.924307231061736;-50.20898806026468
1.333539;-18.19069599718418;-38.17138626795643
1.533539;-15.707914327994239;-30.692041843477757
1.733539;-13.625439607031646;-25.635460111016254
1.933539;-11.915183128669163;-21.968598627150236
2.133539;-10.507173687579984;-19.155981657220824
2.333539;-9.334814765385625;-16.904387714468214
2.533539;-8.345459848162625;-15.044904216618244
2.733539;-7.499898543117075;-13.474891095039132
2.933539;-6.7693122901909675;-12.128321994850099
3.133539;-6.132349029969426;-10.960231838323843
3.333539;-5.572902297053269;-9.938357052167587
3.533539;-5.078557883801666;-9.038504650584878
3.733539;-4.639539000341777;-8.241887860002812
3.933539;-4.247993089018949;-7.533522691648046
4.133539;-3.897504951887877;-6.901214565831133
4.333539;-3.5827583826095797;-6.334885804374324
4.533539;-3.299295701062267;-5.826108815859446
4.733539;-3.043342706313173;-5.367769240408955
4.933539;-2.8116781815593823;-4.953814962674979
5.133539;-2.6015344222261434;-4.579064220214246
5.333539;-2.410519881704324;-4.239055840881336
5.533539;-2.23655795958008;-3.9299304122831415
5.733539;-2.0778378363334884;-3.6483347192550064
5.933539;-1.9327744825943438;-3.3913440352108566
6.133539;-1.7999757834139096;-3.1563983390716315
6.333539;-1.678215268235862;-2.9412495430037184
6.533539;-1.5664093179340768;-2.7439175271913014
6.733539;-1.4635979893551503;-2.562653288732833
6.933539;-1.3689287919729278;-2.395907886415042
