distance;e_elst;e_exch;e_ind;e_disp;e_tot;e_chelpg_hf;e_pol;e_pol_rahul;e_pair;e_int
0.933539;-567.80601414;1524.9408873;134.69922078;-246.28523908;845.54885487;-1.4681138347307048;-23.256228249778133;-71.60450896318426;870.2731969545089;847.0169687047307
1.033539;-435.1444705;1176.26071028;51.97728542;-217.56927996;575.52424525;-5.400721824961076;-22.215352147588302;-59.249764403097394;603.1403192225495;580.9249670749612
1.133539;-332.5341119;902.2451976;3.2461282;-190.94313955;382.01407435;-8.205255124843568;-20.924307231061736;-50.20898806026468;411.1436367059053;390.21932947484356
1.233539;-253.76564654;688.42887766;-23.02726664;-166.85207655;244.78388794;-10.185064694834569;-19.549520515419417;-43.412659559325064;274.518473150254;254.96895263483458
1.333539;-193.70117311;522.68079786;-35.36327365;-145.4177493;148.19860179;-11.567496726958439;-18.19069599718418;-38.17138626795643;177.95679451414262;159.76609851695844
1.433539;-148.16042399;394.97663233;-39.56753799;-126.56908776;80.67958259;-12.51907306258777;-16.90185084193803;-34.032462767615975;110.10050649452579;93.19865565258776
1.533539;-113.79607086;297.14023011;-39.35785546;-110.12718069;33.85912309;-13.160221722634576;-15.707914327994239;-30.692041843477757;62.72725914062881;47.01934481263457
1.633539;-87.96928524;222.58167309;-36.98910833;-95.86117597;1.76210354;-13.577494147937065;-14.616462527366293;-27.941673365611035;29.95606021530336;15.339597687937065
1.733539;-68.62614346;166.04510765;-33.75783713;-83.52428545;-19.86315839;-13.83296510698136;-13.625439607031646;-25.635460111016254;7.595246324013008;-6.030193283018638
1.833539;-54.18367144;123.37763035;-30.36487478;-72.8752457;-34.04616157;-13.971178595970926;-12.727965611169704;-23.669484373383494;-7.347017362859372;-20.074982974029076
1.933539;-43.42953584;91.32415758;-27.15791473;-63.69010042;-42.9533934;-14.024167291554587;-11.915183128669163;-21.968598627150236;-17.014042979776253;-28.929226108445416
2.033539;-35.43937891;67.35113061;-24.28429803;-55.76731424;-48.13986057;-14.01503754541274;-11.177851427110236;-20.477723903725558;-22.94697159747703;-34.124823024587265
2.133539;-29.51108647;49.49875431;-21.783468;-48.92928773;-50.7250879;-13.960516453202585;-10.507173687579984;-19.155981657220824;-26.257397759217426;-36.76457144679741
2.233539;-25.1138302;36.25966788;-19.64062544;-43.02158574;-51.5163735;-13.872759338065611;-9.895173037006495;-17.972658366736056;-27.748441124927893;-37.64361416193439
2.333539;-21.84844903;26.48075684;-17.81692348;-37.91094052;-51.09555619;-13.76063407920846;-9.334814765385625;-16.904387714468214;-28.000107345405922;-37.334922110791545
2.533539;-17.59663316;14.00775097;-14.94152097;-29.64008805;-48.17049121;-13.487543457351082;-8.345459848162625;-15.044904216618244;-26.337487904486295;-34.68294775264892
