distance,e_pair,e_lj
1.833539,-7.347017,-4.765276
1.933539,-17.014043,-18.051312
2.033539,-22.946972,-24.941594
2.133539,-26.257398,-28.038234
2.233539,-27.748441,-28.896171
2.333539,-28.000107,-28.454695
2.533539,-26.337488,-25.736938
2.733539,-23.370447,-22.267705
2.933539,-20.135497,-18.911472
3.133539,-17.105263,-15.946804
3.333539,-14.451033,-13.426115
3.533539,-12.207044,-11.318927
3.733539,-10.341634,-9.569503
3.933539,-8.796075,-8.119556
4.133539,-7.515951,-6.916467
4.333539,-6.451695,-5.915533
4.533539,-5.562487,-5.079850
4.733539,-4.815549,-4.379379
4.933539,-4.184908,-3.789815
5.133539,-3.649886,-3.291530
5.333539,-3.193923,-2.868659
5.533539,-2.803661,-2.508353
5.733539,-2.468241,-2.200168
5.933539,-2.178828,-1.935588
6.133539,-1.928152,-1.707637
6.333539,-1.710231,-1.510579
6.533539,-1.520070,-1.339676
6.733539,-1.343459,-1.191001
6.933539,-1.199394,-1.061282
