distance;e_mult_2;e_mult_2q;e_chelpg_hf;e_chelpg_mp2;e_chelpg_dft
1.434731;-7.573764944975671;-7.477583772030058;-4.294633342248208;-4.279697247030104;-4.376093088077515
1.634731;-10.123794767206189;-10.039126843264144;-8.164203041720441;-8.152986121011976;-8.18768758919037
1.834731;-11.475292579219285;-11.400797922062386;-10.300869636691138;-10.291114172985685;-10.286076234716171
2.034731;-12.11079635394971;-12.045026696238564;-11.396132013795638;-11.3868563973595;-11.3569329394933
2.234731;-12.329229286670028;-12.27077181506453;-11.882124702728143;-11.87293143004536;-11.827599690267258
2.434731;-12.308969481943333;-12.25652654112264;-12.017983249127191;-12.00873567244233;-11.953868868444902
2.634731;-12.154023589436923;-12.106449768383595;-11.955194467738641;-11.945868639962606;-11.885071355415537
2.834731;-11.924210488634165;-11.880523587165907;-11.780970460834258;-11.771587841691623;-11.707084111035396
3.034731;-11.653701107770905;-11.613078123770084;-11.545108385575334;-11.53570565522022;-11.468893354775064
3.234731;-11.361991900410477;-11.32375706024773;-11.275963972243511;-11.266579904170554;-11.198365035602267
3.434731;-11.060252808356;-11.023861890414118;-10.989718798199037;-10.980388972605427;-10.91138344629148
3.634731;-10.754947054960558;-10.719970505612071;-10.695674514912982;-10.686429591863202;-10.617067161473537
3.834731;-10.449876864767859;-10.415983136132013;-10.39924848084418;-10.390114029839339;-10.320718048165572
4.034731;-10.147333457644688;-10.11427335188255;-10.10365908661286;-10.094656035927613;-10.025479119016444
4.234731;-9.8487417735035;-9.8163341918251;-9.810871062092321;-9.80201633781254;-9.7332637126398
4.434731;-9.555021748081058;-9.523141010738305;-9.52212526371451;-9.513432430462911;-9.44527580866845
4.634731;-9.266791118072744;-9.235355882675815;-9.238235961296015;-9.229715791563905;-9.162301732917452
4.834731;-8.984479803806284;-8.953443526921053;-8.959758279863781;-8.951419232025675;-8.88487429492981
5.034731;-8.708395002027231;-8.677737841682495;-8.687083181360567;-8.678931789558666;-8.613365803919518
5.234731;-8.438758806040953;-8.408480837619024;-8.42049200132356;-8.412533189091668;-8.348041430849355
5.434731;-8.175730501314991;-8.145846108416093;-8.160188383149965;-8.152425714635603;-8.089090438522584
5.634731;-7.919420294725595;-7.889953594978438;-7.90631754959953;-7.898753431350706;-7.836645029991821
5.834731;-7.669898234039413;-7.640879404190512;-7.6589784482433245;-7.651614292592606;-7.5907922392101215
6.034731;-7.427200403567591;-7.3986627762918005;-7.418231855314901;-7.411068214273363;-7.351581880574604
6.234731;-7.191333552442013;-7.163311367627025;-7.184106156535072;-7.1771428331647655;-7.11903223482494
6.434731;-6.962278795147506;-6.934805499825331;-6.95660176254116;-6.949837905132354;-6.893134403858975
6.634731;-6.739994736938858;-6.713101739799205;-6.735694692588927;-6.7291288756451735;-6.673855852828505
6.834731;-6.524420217780689;-6.498136015771627;-6.521339624066836;-6.514969919064455;-6.461143427767949
7.034731;-6.3154767807764145;-6.289826386318512;-6.313472574012326;-6.307296612108678;-6.254926009410481
7.234731;-6.113070923095166;-6.088075530679049;-6.112013305962;-6.106028334230242;-6.055116893345416
7.434731;-5.917096161527294;-5.89277300180196;-5.916867515269833;-5.9110704475966465;-5.861615947956426
7.634731;-5.727434931149673;-5.703797268982805;-5.727928824054803;-5.722316287515542;-5.674311580536287
7.834731;-5.543960328653192;-5.521017569050269;-5.545080605109754;-5.539648982404821;-5.493082530715932
8.034731;-5.366537708598864;-5.344295580836377;-5.368197647889644;-5.3629431162635814;-5.317799504470216
