distance;e_elst;e_exch;e_ind;e_disp;e_tot;e_chelpg_hf;e_pol;e_pol_rahul;e_pair;e_int
1.434731;-56.49258227;168.67870468;-43.52170843;-70.24234935;-1.57793537;-4.294633342248208;-20.051961123180437;-45.644373702351125;22.768659095428646;2.7166979722482076
1.534731;-45.46494931;128.89851353;-40.01984404;-61.5384012;-18.12468102;-6.501918381587708;-18.469995185152634;-40.161514805645524;6.84723254674034;-11.622762638412294
1.634731;-37.07265511;97.91337544;-36.34678191;-53.93123371;-29.43729529;-8.164203041720441;-17.032733615890326;-35.65747362706634;-4.240358632389235;-21.27309224827956
1.734731;-30.72764438;73.94993022;-32.80208113;-47.30192473;-36.88172002;-9.398747485244652;-15.73023088710546;-31.930648310941354;-11.752741647649891;-27.48297253475535
1.834731;-25.95625919;55.54423433;-29.54064954;-41.54549963;-41.49817403;-10.300869636691138;-14.55147707041266;-28.81790293392851;-16.645827322896203;-31.197304393308862
1.934731;-22.37962668;41.49973381;-26.62102285;-36.53638195;-44.03729767;-10.946682998358051;-13.485198099844675;-26.190249870132998;-19.605416571797278;-33.09061467164195
2.034731;-19.70181981;30.85164071;-24.05129929;-32.18687257;-45.08835096;-11.396132013795638;-12.520388682262926;-23.947257941545352;-21.171830263941438;-33.69221894620436
2.134731;-17.69370665;22.82791442;-21.80890626;-28.4095915;-45.08428999;-11.6959195951752;-11.646642274950738;-22.011449848336003;-21.741728119874068;-33.388370394824804
2.234731;-16.18138689;16.81695051;-19.85814628;-25.12727043;-44.34985309;-11.882124702728143;-10.854333961465894;-20.323304548864847;-21.613394425805968;-32.46772838727186
2.334731;-15.03476805;12.33854121;-18.15978961;-22.27226015;-43.1282766;-11.982433935170327;-10.134701168811429;-18.83708840158762;-21.011141496018244;-31.145842664829672
2.434731;-14.15664397;9.01893257;-16.67610891;-19.78968767;-41.60350798;-12.017983249127191;-9.47985656490179;-17.517525081894526;-20.105668165971025;-29.585524730872812
2.534731;-13.47726155;6.56967289;-15.37441521;-17.62052282;-39.90252668;-12.004842934868993;-8.882758323180527;-16.337213118075983;-19.01492542195048;-27.89768374513101
2.634731;-12.94317065;4.77010428;-14.22582114;-15.72567568;-38.12456318;-11.955194467738641;-8.337155589308612;-15.274664143656887;-17.832213122952748;-26.16936871226136
2.834731;-12.16705142;2.491858;-12.29649084;-12.6134209;-34.58510516;-11.780970460834258;-7.378980848915972;-13.438031320279055;-15.425153850249767;-22.80413469916574
3.034731;-11.62951451;1.28610766;-10.74275981;-10.21047051;-31.29663716;-11.545108385575334;-6.568520123585327;-11.906900742032906;-13.183008650839337;-19.751528774424663
3.234731;-11.22323773;0.65503696;-9.46594983;-8.33991318;-28.37406378;-11.275963972243511;-5.877221676881824;-10.613099869183749;-11.220878130874667;-17.09809980775649
3.434731;-10.89081121;0.32850562;-8.39896441;-6.86903998;-25.83030998;-10.989718798199037;-5.282907450621413;-9.508218592741754;-9.557683731179548;-14.840591181800962
3.634731;-10.59416285;0.16170888;-7.49417474;-5.70379976;-23.63042847;-10.695674514912982;-4.768259923513968;-8.556487692231675;-8.166494031573048;-12.934753955087016
3.834731;-10.31264019;0.07791666;-6.71781152;-4.77283228;-21.72536733;-10.39924848084418;-4.319655439913656;-7.73065849566807;-7.006463409242165;-11.32611884915582
4.034731;-10.03559439;0.03671126;-6.04536303;-4.02272196;-20.06696812;-10.10365908661286;-3.9262825746712946;-7.009494279148397;-6.037026458715845;-9.963309033387139
4.234731;-9.75877621;0.01694791;-5.45861633;-3.41329041;-18.61373505;-9.810871062092321;-3.5794818849151273;-6.376157013221531;-5.2233821029925505;-8.802863987907678
4.434731;-9.48165809;0.00769584;-4.94361774;-2.9141616;-17.33174158;-9.52212526371451;-3.272252531723218;-5.817116162664598;-4.53736378456227;-7.809616316285489
4.634731;-9.20544638;0.00343086;-4.48936523;-2.50223078;-16.19361152;-9.238235961296015;-2.9988827742594424;-5.321379235286041;-3.956492784444544;-6.955375558703986
4.834731;-8.93176229;0.00145984;-4.08697574;-2.15979953;-15.17707772;-8.959758279863781;-2.75467182334526;-4.879931644350965;-3.462647616790959;-6.217319440136219
5.034731;-8.66199725;0.00052876;-3.72914446;-1.8732057;-14.26381864;-8.687083181360567;-2.5357190131345324;-4.485319215183933;-3.041016445504901;-5.576735458639433
5.234731;-8.39709387;7.919e-05;-3.40983669;-1.63181981;-13.43867119;-8.42049200132356;-2.338762711573457;-4.131331507801317;-2.6794164771029845;-5.0181791886764415
5.434731;-8.13762274;-0.00013279;-3.12399147;-1.42730591;-12.68905291;-8.160188383149965;-2.161056170350494;-3.812758347429981;-2.3678083564995402;-4.528864526850034
5.634731;-7.88393115;-0.00021815;-2.86736668;-1.2530784;-12.00459438;-7.90631754959953;-2.0002709933841087;-3.525200578702647;-2.0980058370163617;-4.09827683040047
5.834731;-7.63625454;-0.00023379;-2.63638027;-1.10389649;-11.37676509;-7.6589784482433245;-1.8544214141697501;-3.2649215813895536;-1.8633652275869246;-3.7177866417566747
6.034731;-7.39476014;-0.0002132;-2.42797083;-0.97555983;-10.798504;-7.418231855314901;-1.7218043809597232;-3.028729785520255;-1.658467763725375;-3.3802721446850983
6.234731;-7.15960669;-0.00017736;-2.23952061;-0.86467838;-10.26398304;-7.184106156535072;-1.6009517528939459;-2.813884990426883;-1.4789251305709816;-3.0798768834649275
6.434731;-6.93087596;-0.00013885;-2.06877785;-0.76849694;-9.7682896;-6.95660176254116;-1.4905918539823602;-2.6180231181796523;-1.321095983476479;-2.811687837458839
6.634731;-6.70862331;-0.0001043;-1.91377172;-0.684761;-9.30726034;-6.735694692588927;-1.389618318464288;-2.439095354528514;-1.181947328946784;-2.571565647411072
6.834731;-6.49283254;-7.631e-05;-1.77279941;-0.61161338;-8.87732164;-6.521339624066836;-1.29706466382111;-2.275318601307362;-1.058917352112054;-2.355982015933164
7.034731;-6.27624828;-5.865e-05;-1.64434904;-0.54749874;-8.46815471;-6.313472574012326;-1.2120833984710735;-2.1251348842077133;-0.9425987375166012;-2.1546821359876747
7.234731;-6.07552637;-4.867e-05;-1.5271478;-0.49117005;-8.09389289;-6.112013305962;-1.133928746658915;-1.9871778982694477;-0.8479508373790845;-1.9818795840379995
7.434731;-5.88123199;-4.084e-05;-1.42003757;-0.44153419;-7.74284459;-5.916867515269833;-1.061942279343444;-1.8602452791552377;-0.7640347953867228;-1.825977074730167
7.634731;-5.69321959;-3.43e-05;-1.32199205;-0.39768391;-7.41292985;-5.727928824054803;-0.9955408955732375;-1.7432754961182857;-0.6894601303719593;-1.6850010259451969
7.834731;-5.51133828;-2.857e-05;-1.23212285;-0.35885114;-7.10234085;-5.545080605109754;-0.9342067172504113;-1.635328497709878;-0.6230535276398349;-1.5572602448902462
8.034731;-5.33543738;-2.344e-05;-1.14962424;-0.32438302;-6.80946808;-5.368197647889644;-0.8774785509263479;-1.5355694220398994;-0.5637918811840088;-1.4412704321103567
