distance;e_lj;e_lj_damp
1.634731;25.90358424083717;33.53171312059189
1.834731;-2.2402354656359496;6.757797202497063
2.034731;-14.278570605139588;-5.417711909998403
2.234731;-18.376499825701895;-10.185330842364099
2.434731;-18.65347857888697;-11.272834715608408
2.634731;-17.2406580358787;-10.657208670460413
2.834731;-15.231789269228932;-9.376657482734537
3.034731;-13.16479929939382;-7.95455773350116
3.234731;-11.275572921216405;-6.62876256861624
3.434731;-9.639940472938545;-5.483065512510667
3.634731;-8.26025290819496;-4.529282518452952
3.834731;-7.105032623946204;-3.7450644983418746
4.034731;-6.137791697749112;-3.102051899904783
4.234731;-5.325170474812086;-2.573861059621815
4.434731;-4.639447098292235;-2.138652144449793
4.634731;-4.058324065470444;-1.7790487192954059
4.834731;-3.563773580742485;-1.481130759221764
5.034731;-3.1410639939585137;-1.2335987646585131
5.234731;-2.778072183802192;-1.0272054243292446
5.434731;-2.464841465469732;-0.8544131671343482
5.634731;-2.193219421779971;-0.7091136766010764
5.834731;-1.9566024575861338;-0.5864387816801031
6.034731;-1.749621457747547;-0.4824997869608798
6.234731;-1.5679005547756089;-0.3941896548830175
6.434731;-1.4078124061676214;-0.3189734681571976
6.634731;-1.2663327227812697;-0.25477156800737744
6.834731;-1.131863940741574;-0.19080658603307077
7.034731;-1.0223150933290994;-0.1457024779186309
7.234731;-0.9250928003018803;-0.10749130758631908
7.434731;-0.8385928738180726;-0.07511793712708204
7.634731;-0.7614565684815486;-0.047707168688479795
7.834731;-0.6925037017980756;-0.024505975658590584
8.034731;-0.630747049377177;-0.004905554418431768
