distance;e_pol;e_pol_damp
1.634731;-15.936555617835642;-23.564684497590367
1.834731;-13.949876747047469;-22.94790941518048
2.034731;-12.141371027598645;-21.00222972273983
2.234731;-10.583640033515879;-18.774809016853673
2.434731;-9.266399673496391;-16.647043536774955
2.634731;-8.156500087441135;-14.73994945285942
2.834731;-7.218585285110921;-13.073717071605317
3.034731;-6.421496044292657;-11.631737610185315
3.234731;-5.739557368343687;-10.38636772094385
3.434731;-5.1521595479666065;-9.309034508394486
3.634731;-4.642895547599871;-8.373865937341881
3.834731;-4.198698102929748;-7.558666228534077
4.034731;-3.809108669326665;-6.844848467170994
4.234731;-3.465696822353814;-6.2170062375440835
4.434731;-3.1616118426484;-5.662406796490842
4.634731;-2.8912401584756626;-5.170515504650701
4.834731;-2.649944188191513;-4.732587009712234
5.034731;-2.433862655467462;-4.341327884767463
5.234731;-2.2397570263134776;-3.990623785786425
5.434731;-2.06489254755024;-3.6753208458856244
5.634731;-1.9069453399468486;-3.3910510851257434
5.834731;-1.76392922692494;-3.1340929028309708
6.034731;-1.6341376205278573;-2.9012592913145245
6.234731;-1.516096986420814;-2.6898078863134054
6.434731;-1.4085292863493837;-2.4973682243598074
6.634731;-1.31032143840865;-2.3218825931825426
6.834731;-1.2205003076882313;-2.1615576623967345
7.034731;-1.1382120893246293;-2.014824704735098
7.234731;-1.0627052064043043;-1.8803066991198658
7.434731;-0.9933160406482421;-1.7567909773392323
7.634731;-0.9294569616781799;-1.6432063614712489
7.834731;-0.8706062333751422;-1.5386039595146273
8.034731;-0.8162994624059814;-1.4421409573647266
