distance;e_elst;e_exch;e_ind;e_disp;e_tot
1.634731;-50.58443563;147.42364073;-52.13385517;-58.50917116;-13.80382124
1.834731;-33.52703455;80.78438678;-37.08932951;-43.72910543;-33.56108271
2.034731;-23.83629739;43.559734;-27.72777764;-33.24280508;-41.24714612
2.234731;-18.41815785;23.13790922;-21.67916444;-25.64157906;-42.60099214
2.434731;-15.36971565;12.12194368;-17.59412278;-20.02963204;-40.8715268
2.634731;-13.60065899;6.27273085;-14.69978443;-15.8274594;-37.85517197
2.834731;-12.51733773;3.21037546;-12.5500734;-12.64245478;-34.49949045
3.034731;-11.80602815;1.62608452;-10.88550192;-10.20203622;-31.26748178
3.234731;-11.3000698;0.81458595;-9.55224405;-8.31288172;-28.35060963
3.434731;-10.90527689;0.4027254;-8.4556451;-6.83730147;-25.79549806
3.634731;-10.57363967;0.19588239;-7.53539328;-5.67084462;-23.58399519
3.834731;-10.27102447;0.09343199;-6.75076127;-4.74125612;-21.66960986
4.034731;-9.98081747;0.04360955;-6.07373161;-3.99358446;-20.00452398
4.234731;-9.69538062;0.01991716;-5.48426579;-3.38689223;-18.54662148
4.434731;-9.41222067;0.0089107;-4.96751575;-2.89045004;-17.26127577
4.634731;-9.13152907;0.00388949;-4.5120056;-2.48100398;-16.12064915
4.834731;-8.85438843;0.00161097;-4.10861413;-2.14080714;-15.10219873
5.034731;-8.58191095;0.00056637;-3.74992281;-1.85619534;-14.18746273
5.234731;-8.31491228;8.154e-05;-3.42980929;-1.61655782;-13.36119785
5.434731;-8.05389141;-0.00013763;-3.14319322;-1.41358568;-12.61080795
5.634731;-7.79913079;-0.00022224;-2.88581087;-1.24072081;-11.92588471
5.834731;-7.55083144;-0.00023615;-2.65406278;-1.09274767;-11.29787804
6.034731;-7.30912389;-0.00021459;-2.44489827;-0.96548769;-10.71972443
6.234731;-7.07411416;-0.00017844;-2.2556993;-0.85556901;-10.18556092
6.434731;-6.84584458;-0.00013989;-2.08420924;-0.7602513;-9.69044501
6.634731;-6.62431358;-0.00010518;-1.92846999;-0.67729226;-9.23018102
6.834731;-6.40043639;-7.259e-05;-1.78678493;-0.60482724;-8.79212115
7.034731;-6.19416308;-5.857e-05;-1.65764505;-0.54136037;-8.39322707
7.234731;-5.99463499;-4.814e-05;-1.53976144;-0.48560145;-8.02004603
7.434731;-5.80167563;-4.004e-05;-1.43199445;-0.43648017;-7.67019028
7.634731;-5.61513784;-3.336e-05;-1.33331729;-0.3930948;-7.34158328
7.834731;-5.43483845;-2.761e-05;-1.2428362;-0.35468224;-7.0323845
8.034731;-5.26061533;-2.254e-05;-1.15976495;-0.32059407;-6.74099688
