distance;e_elst;e_exch;e_ind;e_disp;e_tot
1.634731;-50.58443563;147.42364073;-46.75656657;-57.57805146;-7.49541293
1.834731;-33.52703455;80.78438678;-35.49881999;-43.39860581;-31.64007356
2.034731;-23.83629739;43.559734;-27.27168731;-33.13135329;-40.679604
2.234731;-18.41815785;23.13790922;-21.55208867;-25.60554357;-42.43788087
2.434731;-15.36971565;12.12194368;-17.5596674;-20.01839552;-40.8258349
2.634731;-13.60065899;6.27273085;-14.69067513;-15.82406617;-37.84266945
2.834731;-12.51733773;3.21037546;-12.5477176;-12.64145872;-34.49613859
3.034731;-11.80602815;1.62608452;-10.88490271;-10.20175083;-31.26659717
3.234731;-11.3000698;0.81458595;-9.552093;-8.3128016;-28.35037845
3.434731;-10.90527689;0.4027254;-8.455607;-6.83727934;-25.79543783
3.634731;-10.57363967;0.19588239;-7.53538359;-5.67083861;-23.58397948
3.834731;-10.27102447;0.09343199;-6.75075875;-4.74125451;-21.66960574
4.034731;-9.98081747;0.04360955;-6.07373094;-3.99358403;-20.00452289
4.234731;-9.69538062;0.01991716;-5.4842656;-3.38689212;-18.54662118
4.434731;-9.41222067;0.0089107;-4.96751575;-2.89045004;-17.26127577
4.634731;-9.13152907;0.00388949;-4.5120056;-2.48100398;-16.12064915
4.834731;-8.85438843;0.00161097;-4.10861413;-2.14080714;-15.10219873
5.034731;-8.58191095;0.00056637;-3.74992281;-1.85619534;-14.18746273
5.234731;-8.31491228;8.154e-05;-3.42980929;-1.61655782;-13.36119785
5.434731;-8.05389141;-0.00013763;-3.14319322;-1.41358568;-12.61080795
5.634731;-7.79913079;-0.00022224;-2.88581087;-1.24072081;-11.92588471
5.834731;-7.55083144;-0.00023615;-2.65406278;-1.09274767;-11.29787804
6.034731;-7.30912389;-0.00021459;-2.44489827;-0.96548769;-10.71972443
6.234731;-7.07411416;-0.00017844;-2.2556993;-0.85556901;-10.18556092
6.434731;-6.84584458;-0.00013989;-2.08420924;-0.7602513;-9.69044501
6.634731;-6.62431358;-0.00010518;-1.92846999;-0.67729226;-9.23018102
6.834731;-6.40043639;-7.259e-05;-1.78678493;-0.60482724;-8.79212115
7.034731;-6.19416308;-5.857e-05;-1.65764505;-0.54136037;-8.39322707
7.234731;-5.99463499;-4.814e-05;-1.53976144;-0.48560145;-8.02004603
7.434731;-5.80167563;-4.004e-05;-1.43199445;-0.43648017;-7.67019028
7.634731;-5.61513784;-3.336e-05;-1.33331729;-0.3930948;-7.34158328
7.834731;-5.43483845;-2.761e-05;-1.2428362;-0.35468224;-7.0323845
8.034731;-5.26061533;-2.254e-05;-1.15976495;-0.32059407;-6.74099688
