distance,e_pair,e_lj
1.834731,-2.240235,1.027285
1.934731,-9.634184,-18.193689
2.034731,-14.278571,-19.925846
2.134731,-17.000925,-19.898687
2.234731,-18.376500,-19.062551
2.334731,-18.827018,-17.880668
2.434731,-18.653479,-16.583304
2.534731,-18.072804,-15.285267
2.634731,-17.240658,-14.042479
2.734731,-16.267785,-12.880207
2.834731,-15.231789,-11.807594
2.934731,-14.185796,-10.825339
3.034731,-13.164799,-9.929835
3.234731,-11.275573,-9.115424
3.434731,-9.639940,-7.703906
3.634731,-8.260253,-6.539467
3.834731,-7.105033,-5.576390
4.034731,-6.137792,-4.776663
4.234731,-5.325170,-4.109516
4.434731,-4.639447,-3.550298
4.634731,-4.058324,-3.079306
4.834731,-3.563774,-2.680775
5.034731,-3.141064,-2.342049
5.234731,-2.778072,-2.052925
5.434731,-2.464841,-1.805140
5.634731,-2.193219,-1.591967
5.834731,-1.956602,-1.407905
6.034731,-1.749621,-1.248431
6.234731,-1.567901,-1.109809
6.434731,-1.407812,-0.988941
6.634731,-1.266333,-0.883243
6.834731,-1.131864,-0.790554
7.034731,-1.022315,-0.709058
7.234731,-0.925093,-0.637221
7.434731,-0.838593,-0.573748
7.634731,-0.761457,-0.517535
7.834731,-0.692504,-0.467643
8.034731,-0.630747,-0.423268
